,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.3918,0.4332,0.9146,0.0463,0.1018,,,,,,,,,,,16863,622,163,233,,,,,,,,
GES,LightGBM,m,,,,,,0.3626,0.3898,0.9023,0.0437,0.0984,0.3652,0.422,0.9117,0.0715,0.1595,,,,,16787,698,161,235,16782,703,165,231
GES,LightGBM,mw,,,,,,0.3701,0.4004,0.9044,0.0341,0.0651,0.3872,0.4301,0.9198,0.0611,0.1296,,,,,16904,581,180,216,16813,672,159,237
GES,XGBoost,original,0.3414,0.4338,0.9104,0.0635,0.1542,,,,,,,,,,,16605,880,138,258,,,,,,,,
GES,XGBoost,m,,,,,,0.324,0.3934,0.9032,0.0545,0.1268,0.3584,0.4444,0.9142,0.0514,0.123,,,,,16536,949,149,247,16722,763,145,251
GES,XGBoost,mw,,,,,,0.3012,0.3877,0.9011,0.0622,0.1594,0.371,0.4514,0.9151,0.0436,0.107,,,,,16413,1072,143,253,16772,713,147,249
NOTEARS,FFMLP,original,0.4251,0.3762,0.8725,0.0203,0.0193,,,,,,,,,,,17268,217,228,168,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4312,0.371,0.8788,0.0177,0.0109,0.4308,0.3901,0.8809,0.0184,0.0169,,,,,17255,230,217,179,17304,181,238,158
NOTEARS,FFMLP,mw,,,,,,0.4496,0.3782,0.8846,0.0176,0.0113,0.4176,0.3655,0.8702,0.0189,0.0165,,,,,17215,270,219,177,17288,197,238,158
