original,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
GES,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,16891,594,159,237,,,,,,,,
GES,LightGBM,m,,,,,,0.3981,0.4444,0.9118,0.0353,0.0732,0.4124,0.4739,0.9178,0.033,0.0755,,,,,16954,531,171,225,16961,524,167,229
GES,LightGBM,mw,,,,,,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708,,,,,16963,522,166,230,16978,507,164,232
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,,16637,848,134,262,,,,,,,,
GES,XGBoost,m,,,,,,0.3793,0.467,0.916,0.041,0.0926,0.3774,0.4702,0.9201,0.0455,0.1196,,,,,16800,685,148,248,16813,672,150,246
GES,XGBoost,mw,,,,,,0.3835,0.4602,0.915,0.0369,0.0798,0.3974,0.4855,0.9225,0.0413,0.1012,,,,,16753,732,139,257,16845,640,144,252
NOTEARS,FFMLP,original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,,17352,133,232,164,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4816,0.5082,0.9207,0.0149,0.0082,0.48,0.5,0.9149,0.015,0.0077,,,,,17280,205,227,169,17220,265,221,175
NOTEARS,FFMLP,mw,,,,,,0,0.0221,0.5,0.0218,0.0135,0.4359,0.477,0.9141,0.0154,0.008,,,,,17320,165,228,168,17306,179,221,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rand_edge_w,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,O,O,O,O,F,F,F,F,OF,OF,OF,OF
