metric,mean,ci_low,ci_high
O.f1,0.2721957411075769,0.26926140718160263,0.27513007503355114
F_m.f1,0.2829272156245317,0.2794533154259292,0.2864011158231342
OF_m.f1,0.27673020386389974,0.2734877016131765,0.279972706114623
F_mw.f1,0.2803464684683828,0.27696168950235306,0.2837312474344125
OF_mw.f1,0.275239818301613,0.2718925866931126,0.27858704991011335
O.AUPRC,0.23231238696499415,0.23019311956964514,0.23443165436034316
F_m.AUPRC,0.24229541034007357,0.2395332320322091,0.24505758864793803
OF_m.AUPRC,0.24137741377053956,0.23876736681865413,0.243987460722425
F_mw.AUPRC,0.24203416435842212,0.23932560942562217,0.24474271929122207
OF_mw.AUPRC,0.24091647917419987,0.23835856356901763,0.2434743947793821
O.AUROC,0.8593348666734216,0.8582992460227734,0.8603704873240698
F_m.AUROC,0.8580173764504267,0.8567554923607954,0.8592792605400581
OF_m.AUROC,0.8588934355903645,0.8577088753347346,0.8600779958459943
F_mw.AUROC,0.8581055221633257,0.8568352308745454,0.859375813452106
OF_mw.AUROC,0.8588209234777608,0.8577241093253656,0.8599177376301561
O.Brier,0.020450769296486624,0.020403020321688285,0.020498518271284964
F_m.Brier,0.020353716385946498,0.020298083415419825,0.02040934935647317
OF_m.Brier,0.020456089174602458,0.020398082679736963,0.020514095669467953
F_mw.Brier,0.020369136032254126,0.020311164862507704,0.020427107202000548
OF_mw.Brier,0.020452601182951127,0.020396577103757158,0.020508625262145096
O.ECE,0.019057698518664064,0.018988094944050515,0.019127302093277614
F_m.ECE,0.01928764436068865,0.01921226402306098,0.019363024698316317
OF_m.ECE,0.0195891074180321,0.019513370423295408,0.019664844412768792
F_mw.ECE,0.019339371157739156,0.01926531560990772,0.019413426705570593
OF_mw.ECE,0.01959084954135132,0.019523518100312606,0.01965818098239003
