_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.270193,0.248201,0.26456,0.247376,0.256348,0.232856,0.224899,0.228492,0.220078,0.221133,0.854205,0.856203,0.855932,0.856323,0.85413,0.02061,0.020778,0.020632,0.020782,0.020735,0.019177,0.019938,0.019319,0.019752,0.019592
2,0.266055,0.269829,0.287836,0.288283,0.265699,0.233494,0.239855,0.252075,0.239802,0.239578,0.858168,0.855729,0.855779,0.855012,0.85523,0.020356,0.020334,0.020199,0.020412,0.020616,0.019154,0.019314,0.019497,0.019605,0.019911
3,0.247887,0.26912,0.270193,0.277741,0.279506,0.220902,0.246908,0.232387,0.24729,0.24146,0.863614,0.861428,0.858786,0.857841,0.861351,0.020705,0.020175,0.020374,0.02011,0.020337,0.019261,0.01884,0.019371,0.019294,0.019369
4,0.281286,0.280754,0.28718,0.263056,0.300847,0.236033,0.231487,0.243555,0.238349,0.24028,0.861136,0.85331,0.856127,0.853904,0.853197,0.020425,0.020502,0.020424,0.020491,0.020279,0.018938,0.019628,0.019507,0.019642,0.019611
5,0.280537,0.263303,0.302157,0.279465,0.28391,0.234212,0.237579,0.250061,0.235674,0.24831,0.861173,0.853107,0.860882,0.850856,0.85602,0.020468,0.020432,0.02031,0.020539,0.020283,0.019006,0.01935,0.018833,0.019763,0.019547
6,0.269444,0.287233,0.273812,0.26157,0.26258,0.236383,0.239096,0.240947,0.235457,0.238685,0.861222,0.857935,0.862728,0.86459,0.862465,0.020314,0.020247,0.020318,0.020408,0.020367,0.018832,0.018866,0.019534,0.01917,0.019299
7,0.261004,0.279272,0.248877,0.258765,0.256044,0.218335,0.234527,0.228367,0.228303,0.229198,0.845168,0.856715,0.850431,0.853772,0.849495,0.020643,0.020486,0.020643,0.020628,0.020725,0.019197,0.019615,0.019867,0.019623,0.020071
8,0.300255,0.3097,0.300716,0.267592,0.291593,0.248967,0.25871,0.270613,0.256855,0.262887,0.866967,0.868157,0.86991,0.869894,0.864944,0.020123,0.019943,0.019741,0.020072,0.019895,0.018553,0.019006,0.018698,0.01928,0.018761
9,0.271355,0.241329,0.252964,0.278865,0.22997,0.222554,0.216952,0.224874,0.231368,0.225927,0.858631,0.858245,0.861221,0.863237,0.862213,0.020778,0.020754,0.020841,0.020508,0.020791,0.019364,0.019864,0.019895,0.019283,0.019732
10,0.252015,0.308654,0.286529,0.299066,0.288436,0.238217,0.267602,0.250343,0.268462,0.250168,0.862508,0.871054,0.870059,0.868689,0.870379,0.020481,0.020075,0.020317,0.019934,0.020333,0.019361,0.019162,0.019522,0.018662,0.019443
11,0.281297,0.296009,0.29715,0.304455,0.295768,0.227207,0.249336,0.24814,0.250527,0.237574,0.853512,0.858432,0.857299,0.863415,0.856466,0.020679,0.020236,0.020344,0.020176,0.02044,0.019607,0.019173,0.019591,0.019095,0.019604
