metric,mean,ci_low,ci_high
O.f1,0.2786978053655827,0.2758459673358101,0.28154964339535526
F_m.f1,0.11477369146601324,0.11143611520122107,0.11811126773080541
OF_m.f1,0.2690532364198028,0.26605111432798295,0.2720553585116226
F_mw.f1,0.11263318910025275,0.10922710228061892,0.11603927591988657
OF_mw.f1,0.27079206832972924,0.2676513645513502,0.2739327721081083
O.AUPRC,0.23153596361124731,0.22952785396224434,0.23354407326025028
F_m.AUPRC,0.10711139150397032,0.10534142506745567,0.10888135794048498
OF_m.AUPRC,0.23395225190395624,0.2320888643827218,0.23581563942519068
F_mw.AUPRC,0.10758072181472475,0.1058188698791073,0.1093425737503422
OF_mw.AUPRC,0.2343958292687346,0.23249512877515,0.23629652976231919
O.AUROC,0.8596151999164608,0.8585660706361784,0.8606643291967433
F_m.AUROC,0.7783661225224818,0.7767623693751564,0.7799698756698072
OF_m.AUROC,0.8571730505593225,0.8559932803139118,0.8583528208047332
F_mw.AUROC,0.7789717739549463,0.7773181982032613,0.7806253497066313
OF_mw.AUROC,0.8576309253083805,0.8565043489690244,0.8587575016477366
O.Brier,0.020471863814185764,0.02042710079664251,0.02051662683172902
F_m.Brier,0.021723786264512043,0.021700183047784122,0.021747389481239963
OF_m.Brier,0.020544509589428772,0.020499765955818552,0.020589253223038992
F_mw.Brier,0.02172896623333274,0.021704361843563287,0.021753570623102195
OF_mw.Brier,0.02054523896620257,0.02050292026868341,0.02058755766372173
O.ECE,0.01905742176131154,0.018993634728916995,0.019121208793706084
F_m.ECE,0.020358248041053916,0.020317580419696293,0.02039891566241154
OF_m.ECE,0.01960214175063267,0.019545570773037372,0.01965871272822797
F_mw.ECE,0.020370942162066332,0.020326869918075273,0.02041501440605739
OF_mw.ECE,0.019644528806380443,0.019585825650712204,0.019703231962048682
