_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.293466,0.141916,0.270597,0.119172,0.276771,0.24165,0.109796,0.227757,0.102387,0.229732,0.865241,0.772237,0.855803,0.778678,0.857591,0.020285,0.021726,0.020707,0.021785,0.020681,0.0185,0.0203,0.019888,0.020202,0.01963
2,0.293908,0.120994,0.267952,0.109177,0.273696,0.241838,0.121773,0.234558,0.115712,0.224598,0.859357,0.783771,0.858445,0.782215,0.861216,0.020207,0.021499,0.020627,0.021533,0.020789,0.018451,0.019942,0.019581,0.020269,0.019666
3,0.283473,0.110503,0.248841,0.107487,0.228303,0.224427,0.108877,0.220735,0.098929,0.219353,0.856589,0.771561,0.853411,0.772405,0.850159,0.020794,0.021641,0.020975,0.021786,0.020913,0.019719,0.020369,0.019838,0.020728,0.020275
4,0.276937,0.115735,0.252379,0.124047,0.261742,0.230598,0.114444,0.232594,0.108208,0.241702,0.849199,0.780384,0.850106,0.776922,0.851208,0.020501,0.021635,0.020709,0.021678,0.020519,0.01888,0.020305,0.019776,0.020044,0.01989
5,0.265421,0.103503,0.285245,0.093378,0.270697,0.221646,0.100977,0.229977,0.095156,0.226347,0.855437,0.765863,0.844209,0.765499,0.850992,0.020649,0.021846,0.020651,0.021915,0.020655,0.01923,0.020395,0.019537,0.020699,0.01969
6,0.277637,0.100355,0.28182,0.094345,0.274783,0.237221,0.098425,0.254139,0.094069,0.246818,0.854472,0.779629,0.850496,0.776836,0.853448,0.020273,0.021768,0.019949,0.021849,0.020157,0.01872,0.020471,0.018777,0.020394,0.019021
7,0.268505,0.098554,0.246383,0.122728,0.263688,0.235634,0.091082,0.228071,0.095746,0.232981,0.862915,0.780739,0.856009,0.77391,0.85733,0.020554,0.021878,0.020674,0.021815,0.02062,0.019086,0.020534,0.019795,0.020389,0.019791
8,0.28597,0.126477,0.235344,0.112995,0.251625,0.224977,0.106001,0.236181,0.101434,0.228122,0.85324,0.762611,0.848014,0.760996,0.850207,0.020496,0.021711,0.020423,0.021735,0.020591,0.019406,0.020406,0.019718,0.020245,0.019772
9,0.291913,0.102103,0.25163,0.120232,0.253079,0.234642,0.102969,0.225781,0.11097,0.221726,0.865397,0.771876,0.859538,0.775316,0.863375,0.020455,0.021731,0.02053,0.021694,0.020566,0.018958,0.020252,0.019365,0.020447,0.019512
10,0.254325,0.091468,0.256885,0.090899,0.259259,0.228542,0.101608,0.236901,0.101679,0.22983,0.862395,0.780403,0.854424,0.784205,0.85696,0.020487,0.021776,0.020537,0.021806,0.020647,0.01887,0.020398,0.019332,0.020509,0.019916
11,0.287639,0.105999,0.27074,0.068697,0.280983,0.226269,0.094772,0.233007,0.090674,0.243881,0.847881,0.774376,0.847274,0.772351,0.851366,0.020567,0.021899,0.020445,0.022009,0.020285,0.019214,0.020338,0.01931,0.020579,0.019578
12,0.262565,0.093024,0.245663,0.095558,0.238604,0.220617,0.094936,0.229862,0.096548,0.22585,0.856373,0.775404,0.857039,0.775164,0.855148,0.020538,0.021885,0.020591,0.021802,0.020613,0.019054,0.020613,0.019653,0.020169,0.019493
13,0.283987,0.118707,0.271175,0.121391,0.26859,0.237034,0.116466,0.243402,0.113297,0.24995,0.859704,0.774495,0.851986,0.772302,0.852103,0.020261,0.021549,0.020393,0.021557,0.020184,0.018811,0.02023,0.019593,0.019931,0.019241
14,0.27934,0.110032,0.268666,0.112045,0.287895,0.230823,0.098774,0.247524,0.103676,0.239782,0.856875,0.781277,0.857443,0.781822,0.859372,0.020282,0.021862,0.020307,0.02184,0.020412,0.018835,0.020438,0.019473,0.020414,0.019185
15,0.274666,0.128765,0.271138,0.122202,0.259185,0.248673,0.115355,0.245902,0.106491,0.249663,0.864789,0.783962,0.863159,0.780975,0.864877,0.020194,0.021621,0.020305,0.021795,0.020346,0.018827,0.020211,0.019661,0.020548,0.019645
16,0.26666,0.112399,0.274659,0.103495,0.289033,0.211068,0.107349,0.231225,0.103811,0.225641,0.852658,0.779509,0.847511,0.781452,0.8477,0.020651,0.021751,0.020603,0.021818,0.02063,0.019294,0.020373,0.019758,0.020476,0.019705
17,0.270884,0.103911,0.27791,0.08387,0.291477,0.234802,0.101847,0.234417,0.09939,0.242739,0.868874,0.781244,0.866371,0.778982,0.867991,0.020471,0.02176,0.020491,0.021751,0.020427,0.018942,0.020531,0.019265,0.020486,0.0193
18,0.280744,0.079203,0.252983,0.094899,0.267409,0.248692,0.095953,0.229865,0.096586,0.239646,0.861524,0.768661,0.857727,0.772296,0.856238,0.020024,0.021809,0.020589,0.021839,0.020303,0.018542,0.020345,0.019621,0.020635,0.019239
19,0.274722,0.12452,0.263514,0.126786,0.283533,0.22381,0.114695,0.233595,0.120854,0.231221,0.861126,0.788226,0.862687,0.78644,0.863248,0.020671,0.021683,0.020604,0.021605,0.0207,0.019416,0.020322,0.019713,0.020301,0.019951
20,0.276946,0.097574,0.259214,0.082325,0.271924,0.233601,0.095406,0.224982,0.096189,0.228274,0.860552,0.78208,0.857062,0.787864,0.85844,0.020531,0.021906,0.020852,0.022027,0.020808,0.01947,0.020795,0.020151,0.020896,0.019937
21,0.270263,0.122273,0.25765,0.092605,0.246468,0.239469,0.112632,0.233607,0.109831,0.23265,0.859492,0.776923,0.857829,0.775224,0.857594,0.020397,0.021633,0.020621,0.021711,0.020599,0.019166,0.020165,0.019659,0.020219,0.019774
22,0.284709,0.113732,0.245806,0.113881,0.251521,0.221203,0.106003,0.232125,0.10224,0.232142,0.85509,0.783615,0.86022,0.78055,0.86012,0.020771,0.021634,0.020725,0.021721,0.020763,0.019426,0.020283,0.020028,0.020439,0.019938
23,0.245077,0.092176,0.271221,0.092214,0.266159,0.215297,0.099369,0.223792,0.094432,0.220423,0.862218,0.771274,0.862243,0.765561,0.857889,0.020923,0.021782,0.020686,0.02186,0.020779,0.01984,0.020461,0.019639,0.020823,0.020175
24,0.283479,0.097134,0.272259,0.094639,0.267943,0.23222,0.09263,0.22512,0.101918,0.229901,0.859528,0.763247,0.856531,0.770108,0.855549,0.020378,0.021979,0.020653,0.021877,0.020504,0.018872,0.020818,0.019654,0.020758,0.019718
25,0.280123,0.11253,0.284429,0.101257,0.263493,0.226533,0.098075,0.224533,0.102621,0.225457,0.854117,0.778457,0.853204,0.779715,0.85661,0.020647,0.021769,0.020665,0.021783,0.020653,0.019393,0.020401,0.019786,0.020554,0.019599
