metric,mean,ci_low,ci_high
O.f1,0.275663861556601,0.27295644738251473,0.27837127573068726
F_m.f1,0.23978467555823205,0.23637257686562604,0.24319677425083805
OF_m.f1,0.2775918470920932,0.27476678411324246,0.280416910070944
F_mw.f1,0.24002643557635786,0.2366595823441339,0.24339328880858183
OF_mw.f1,0.275860758684223,0.2727831529989021,0.2789383643695439
O.AUPRC,0.23029471478903635,0.22823954628135953,0.23234988329671316
F_m.AUPRC,0.20553970661991744,0.20290712920461837,0.2081722840352165
OF_m.AUPRC,0.23872884380525472,0.2362011508285539,0.24125653678195555
F_mw.AUPRC,0.20566893984652135,0.20292813432192422,0.20840974537111848
OF_mw.AUPRC,0.23933530099684897,0.23674576249596363,0.2419248394977343
O.AUROC,0.8593096497748927,0.8582202621630609,0.8603990373867244
F_m.AUROC,0.8500571784674519,0.8487778363380926,0.8513365205968112
OF_m.AUROC,0.8587913648269754,0.8576023660805907,0.85998036357336
F_mw.AUROC,0.8502514682472766,0.8488480448206992,0.851654891673854
OF_mw.AUROC,0.8591168524376523,0.8578752777938929,0.8603584270814117
O.Brier,0.020469322767233254,0.020429792009869396,0.020508853524597113
F_m.Brier,0.020827939313534705,0.020780199423776652,0.02087567920329276
OF_m.Brier,0.020458531530797686,0.020407861395563793,0.02050920166603158
F_mw.Brier,0.020833189349624023,0.020782325582222635,0.02088405311702541
OF_mw.Brier,0.020462202260986526,0.020409238030018772,0.02051516649195428
O.ECE,0.019005141809598128,0.018945373869428312,0.019064909749767944
F_m.ECE,0.019622744884499454,0.0195632986830956,0.019682191085903307
OF_m.ECE,0.01949841948242151,0.019434142109258253,0.019562696855584764
F_mw.ECE,0.019618249977744587,0.01954912080224179,0.019687379153247385
OF_mw.ECE,0.019547974605243216,0.019476327436571794,0.019619621773914638
