_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.28422,0.254302,0.287528,0.266056,0.273962,0.230236,0.217956,0.261824,0.223203,0.254676,0.851251,0.851151,0.859875,0.847633,0.861353,0.020193,0.020689,0.020016,0.020531,0.02014,0.018742,0.019322,0.019001,0.019258,0.019155
2,0.271733,0.207789,0.254893,0.226315,0.261829,0.228086,0.177246,0.218564,0.183026,0.218564,0.857437,0.852875,0.864957,0.853976,0.867339,0.020682,0.021475,0.021077,0.021358,0.020977,0.019131,0.02036,0.019803,0.019995,0.019876
3,0.275859,0.234286,0.280803,0.246678,0.268994,0.225178,0.197571,0.237244,0.201381,0.233378,0.855487,0.845395,0.851755,0.853211,0.851057,0.020675,0.020878,0.020492,0.02083,0.020535,0.019325,0.019988,0.019671,0.019246,0.019685
4,0.263275,0.270171,0.282099,0.254894,0.281814,0.230866,0.23056,0.240595,0.228007,0.246723,0.855089,0.85703,0.857215,0.857974,0.856145,0.020355,0.02027,0.020365,0.02036,0.020304,0.019,0.019133,0.019209,0.018824,0.019609
5,0.25232,0.249275,0.263196,0.261288,0.272282,0.221642,0.211991,0.237201,0.224861,0.236087,0.863432,0.854655,0.863248,0.856992,0.863987,0.020532,0.020704,0.020561,0.020617,0.02051,0.019082,0.019311,0.019588,0.019551,0.019951
6,0.256931,0.235131,0.291544,0.24032,0.308238,0.229146,0.219717,0.259927,0.227328,0.268412,0.854168,0.855978,0.862976,0.851762,0.860167,0.020391,0.02052,0.020056,0.02033,0.019936,0.019028,0.01926,0.018725,0.019361,0.019001
7,0.278705,0.257968,0.293317,0.231849,0.265341,0.231064,0.22292,0.260857,0.228178,0.261107,0.864398,0.854196,0.865532,0.855314,0.865044,0.020614,0.02058,0.020116,0.02043,0.020016,0.019114,0.019348,0.019109,0.019193,0.019027
8,0.296201,0.221382,0.297408,0.247684,0.283525,0.233963,0.217547,0.258341,0.220081,0.252852,0.851189,0.842656,0.857195,0.847709,0.856816,0.0204,0.020841,0.020086,0.020721,0.020227,0.018977,0.020008,0.019179,0.01985,0.019755
9,0.263975,0.229487,0.241658,0.185991,0.24863,0.207029,0.192119,0.214067,0.187238,0.217994,0.863888,0.855546,0.864509,0.855877,0.869621,0.020836,0.021065,0.020963,0.020992,0.021031,0.019222,0.019852,0.020149,0.019787,0.02025
10,0.257965,0.233796,0.266066,0.247351,0.27163,0.222597,0.196561,0.230153,0.203071,0.233574,0.862342,0.857519,0.868584,0.855468,0.865682,0.020564,0.020971,0.020728,0.020887,0.020675,0.019088,0.019739,0.020329,0.019981,0.020268
11,0.281785,0.249577,0.277616,0.243885,0.256475,0.245068,0.200313,0.247334,0.201211,0.247976,0.860799,0.850445,0.859284,0.854906,0.85806,0.020138,0.02123,0.020271,0.021154,0.02025,0.018271,0.020115,0.019271,0.019761,0.019083
12,0.263226,0.228064,0.288516,0.229755,0.259175,0.20961,0.190422,0.223458,0.18897,0.216805,0.847751,0.839532,0.846654,0.83811,0.847378,0.020661,0.020812,0.02056,0.020993,0.020704,0.018953,0.019693,0.019431,0.01969,0.019546
13,0.275608,0.245877,0.295969,0.205457,0.289055,0.217145,0.199083,0.243965,0.198508,0.235768,0.852576,0.847145,0.85539,0.848942,0.854027,0.020692,0.02102,0.020666,0.020986,0.020681,0.019178,0.019858,0.019749,0.019652,0.019732
14,0.276867,0.273243,0.292189,0.240878,0.290028,0.240507,0.232214,0.266133,0.22211,0.258673,0.862124,0.854495,0.863575,0.853619,0.864805,0.020195,0.02051,0.02006,0.020565,0.020176,0.018276,0.019373,0.019304,0.019553,0.019182
15,0.266404,0.205679,0.281046,0.232169,0.267342,0.23458,0.187908,0.234359,0.189544,0.238776,0.859149,0.845775,0.85285,0.845866,0.855144,0.020352,0.021143,0.02051,0.021219,0.020359,0.01901,0.019528,0.019522,0.020111,0.01952
16,0.25944,0.225425,0.249071,0.257803,0.266328,0.226936,0.203963,0.229792,0.202007,0.240162,0.856398,0.84806,0.845237,0.847073,0.848163,0.020409,0.020723,0.020398,0.020782,0.020195,0.019015,0.019108,0.018899,0.019215,0.019044
17,0.268372,0.231208,0.265348,0.228084,0.253756,0.235697,0.200048,0.23371,0.197251,0.237532,0.862175,0.850218,0.859779,0.845639,0.862755,0.0204,0.020908,0.020533,0.02102,0.020492,0.018977,0.019664,0.019378,0.019886,0.019555
18,0.269574,0.18957,0.280887,0.229004,0.309757,0.23798,0.191098,0.245532,0.195335,0.250667,0.861123,0.850336,0.861854,0.851287,0.857472,0.020261,0.02096,0.020315,0.020913,0.020311,0.018771,0.019895,0.019474,0.019593,0.019608
19,0.248901,0.231041,0.272128,0.217615,0.275188,0.221823,0.194714,0.218135,0.193454,0.219906,0.86948,0.853164,0.861111,0.851191,0.864115,0.020693,0.021045,0.021001,0.021085,0.020946,0.019127,0.019963,0.019924,0.019966,0.01986
20,0.278645,0.244464,0.279,0.22152,0.252348,0.234964,0.208399,0.242767,0.210074,0.238497,0.858472,0.845502,0.862149,0.849698,0.863975,0.020388,0.020709,0.020523,0.020714,0.020633,0.01889,0.019385,0.019567,0.019717,0.019798
21,0.28511,0.251868,0.277143,0.247345,0.267681,0.230326,0.195702,0.238548,0.204188,0.230835,0.867244,0.848623,0.861671,0.852762,0.865901,0.020532,0.020859,0.020544,0.020744,0.020643,0.019552,0.019606,0.019704,0.019547,0.019786
22,0.269612,0.216852,0.268943,0.213276,0.262474,0.230291,0.189383,0.232896,0.200585,0.228258,0.852818,0.842053,0.855484,0.845561,0.858039,0.020465,0.021106,0.020595,0.020998,0.020717,0.018803,0.020006,0.019383,0.020024,0.019718
23,0.268035,0.258541,0.257743,0.224415,0.260208,0.218502,0.202982,0.222856,0.200909,0.233628,0.857331,0.859889,0.863747,0.858599,0.867931,0.020528,0.020849,0.020546,0.020776,0.020387,0.01908,0.019359,0.019138,0.019497,0.019359
24,0.270193,0.243055,0.272455,0.254262,0.257777,0.224875,0.209167,0.244231,0.211227,0.236167,0.855417,0.843106,0.853063,0.841063,0.853023,0.020637,0.020864,0.020326,0.020717,0.020419,0.019156,0.019716,0.019279,0.019265,0.019217
25,0.26353,0.224072,0.28296,0.245612,0.287187,0.223939,0.211338,0.241739,0.211034,0.241926,0.8515,0.850903,0.858908,0.848656,0.860337,0.02056,0.020677,0.020306,0.02065,0.020376,0.019313,0.019571,0.019421,0.019291,0.019438
26,0.274492,0.239068,0.262657,0.241627,0.273096,0.232055,0.207088,0.244377,0.196642,0.24625,0.846407,0.844458,0.855925,0.84193,0.858734,0.020398,0.020997,0.020387,0.020981,0.020336,0.018812,0.019626,0.019611,0.019728,0.019333
27,0.258254,0.271311,0.286682,0.256946,0.295998,0.235028,0.22811,0.266235,0.21983,0.2605,0.858733,0.83406,0.854564,0.831022,0.851883,0.020317,0.020253,0.019777,0.020362,0.019781,0.018609,0.019374,0.018737,0.01913,0.018551
28,0.281701,0.227958,0.278851,0.219745,0.263123,0.235889,0.190541,0.231152,0.187471,0.23116,0.862378,0.841056,0.849783,0.839882,0.849952,0.020397,0.021034,0.02047,0.021161,0.020543,0.019107,0.019465,0.019417,0.01983,0.019348
29,0.264605,0.247265,0.281951,0.233111,0.277338,0.212574,0.195458,0.234366,0.194313,0.231164,0.857089,0.847136,0.857676,0.849572,0.859631,0.021044,0.021132,0.020589,0.021113,0.020903,0.019813,0.019945,0.019693,0.019991,0.020118
30,0.254297,0.263888,0.287958,0.245498,0.281164,0.224992,0.209202,0.243907,0.206121,0.245287,0.848689,0.839664,0.845708,0.839423,0.846205,0.020514,0.020853,0.020058,0.020914,0.02012,0.018799,0.019732,0.019014,0.019729,0.019046
31,0.27227,0.24873,0.286189,0.245881,0.295607,0.226477,0.197175,0.244223,0.193403,0.235719,0.863563,0.855159,0.859576,0.855016,0.864071,0.020458,0.021042,0.020198,0.020988,0.020365,0.01899,0.019718,0.01892,0.01956,0.019262
32,0.283073,0.273002,0.315599,0.250164,0.304034,0.231335,0.21657,0.259329,0.21412,0.248363,0.854506,0.841196,0.853975,0.842734,0.852935,0.020379,0.020542,0.020038,0.020636,0.020343,0.018916,0.019348,0.018868,0.019595,0.019506
33,0.290396,0.238995,0.288274,0.251061,0.276884,0.228226,0.209774,0.244708,0.203996,0.239384,0.866666,0.858009,0.869465,0.858385,0.863665,0.02051,0.02068,0.020433,0.020768,0.020423,0.019182,0.019278,0.019399,0.019065,0.019774
34,0.279814,0.258053,0.274443,0.238324,0.263048,0.238236,0.214408,0.247375,0.216116,0.252345,0.85996,0.850217,0.861137,0.852504,0.86027,0.020337,0.020615,0.020316,0.020582,0.020285,0.018988,0.019377,0.019468,0.019444,0.019224
35,0.285985,0.23683,0.263843,0.213425,0.25263,0.218023,0.211258,0.231284,0.205717,0.232199,0.86333,0.853533,0.856942,0.850287,0.859286,0.020689,0.020797,0.020485,0.020788,0.020512,0.019705,0.019609,0.019437,0.019962,0.019566
36,0.301518,0.240913,0.302883,0.256128,0.307283,0.232989,0.210145,0.241258,0.20516,0.249447,0.860122,0.843731,0.858637,0.844194,0.857376,0.020453,0.020858,0.020371,0.021039,0.020355,0.018925,0.019929,0.019712,0.020056,0.019941
37,0.271332,0.214628,0.278122,0.222649,0.260326,0.221535,0.194555,0.224308,0.200226,0.224671,0.858378,0.842613,0.852819,0.840421,0.852655,0.020568,0.021187,0.020739,0.021091,0.02072,0.019224,0.019982,0.019706,0.01998,0.019748
38,0.291223,0.232477,0.25795,0.229431,0.270367,0.223944,0.221307,0.236754,0.207506,0.237826,0.865254,0.864252,0.86974,0.865307,0.870286,0.020606,0.020635,0.020616,0.020947,0.020608,0.019039,0.019649,0.019692,0.019925,0.019649
39,0.287063,0.242334,0.27118,0.228831,0.290952,0.239193,0.211576,0.249497,0.20468,0.252554,0.863897,0.861843,0.866392,0.854152,0.866401,0.020418,0.020591,0.020271,0.020772,0.020193,0.019355,0.01954,0.019356,0.019502,0.019257
40,0.284189,0.259022,0.294784,0.271515,0.290267,0.251807,0.233065,0.258924,0.238687,0.265358,0.867689,0.850505,0.862575,0.854141,0.863485,0.020254,0.020335,0.02009,0.020351,0.01988,0.018736,0.019409,0.019182,0.019328,0.018858
41,0.297885,0.260837,0.278756,0.266395,0.284266,0.251839,0.214794,0.251675,0.220051,0.255356,0.857161,0.844589,0.85256,0.846194,0.85554,0.020037,0.020692,0.020238,0.020689,0.020191,0.018191,0.019556,0.019415,0.019414,0.019282
42,0.287048,0.240818,0.277107,0.259939,0.29147,0.240668,0.218187,0.251809,0.230618,0.251777,0.85736,0.845704,0.852144,0.851238,0.856986,0.02033,0.020523,0.020075,0.020383,0.020233,0.018983,0.019152,0.018923,0.019132,0.019325
43,0.259343,0.195993,0.282336,0.219645,0.25898,0.216748,0.183337,0.229337,0.175213,0.212924,0.857701,0.83832,0.855761,0.835879,0.851684,0.020879,0.021058,0.020681,0.021152,0.020879,0.019418,0.019729,0.019577,0.019865,0.020308
44,0.254257,0.22655,0.258241,0.21636,0.266342,0.215636,0.213039,0.231105,0.213254,0.236339,0.869403,0.861527,0.869175,0.859053,0.871398,0.020674,0.020874,0.020589,0.02076,0.020618,0.018975,0.019641,0.019712,0.019436,0.019623
45,0.29775,0.242965,0.297884,0.254521,0.291817,0.23884,0.219393,0.261183,0.222697,0.276704,0.859684,0.855498,0.860433,0.858499,0.859264,0.020259,0.020584,0.019966,0.020573,0.019881,0.018788,0.019063,0.018537,0.019086,0.019166
46,0.282449,0.238166,0.279193,0.233852,0.248498,0.220243,0.20582,0.242148,0.202034,0.236574,0.859464,0.850452,0.860521,0.854707,0.859615,0.020748,0.020838,0.020547,0.021038,0.020723,0.019691,0.019816,0.01961,0.019672,0.020296
47,0.287616,0.242005,0.266859,0.242196,0.266833,0.221454,0.206699,0.22831,0.208726,0.227917,0.858284,0.833961,0.850925,0.838683,0.85425,0.020538,0.020707,0.020418,0.020667,0.020515,0.018944,0.019282,0.019197,0.019563,0.019644
48,0.246028,0.255416,0.274324,0.24825,0.27353,0.224677,0.220508,0.245664,0.214681,0.243966,0.854423,0.848727,0.857436,0.848155,0.855243,0.02041,0.020584,0.020566,0.020712,0.020459,0.018967,0.019404,0.019758,0.019672,0.019676
49,0.268643,0.251351,0.294587,0.232998,0.282011,0.227296,0.207119,0.235311,0.198993,0.242994,0.864199,0.848015,0.857733,0.84852,0.862166,0.020469,0.020806,0.020598,0.02091,0.020471,0.018897,0.019602,0.019763,0.01957,0.019727
50,0.274385,0.221472,0.261926,0.213659,0.271928,0.209835,0.189129,0.240396,0.193618,0.234835,0.8539,0.850305,0.856977,0.848795,0.856757,0.02093,0.020941,0.020464,0.020955,0.020445,0.019465,0.01958,0.019712,0.019911,0.019578
51,0.257113,0.256832,0.256089,0.255878,0.252596,0.216265,0.21435,0.220529,0.197822,0.227955,0.851062,0.84792,0.856933,0.846848,0.854382,0.020653,0.020694,0.020629,0.021072,0.020567,0.018673,0.019405,0.019632,0.020123,0.01969
52,0.2761,0.224368,0.271432,0.247171,0.256239,0.232974,0.195101,0.244033,0.199358,0.242515,0.852593,0.835674,0.848794,0.833586,0.848127,0.020529,0.020856,0.02044,0.020953,0.020437,0.018933,0.019503,0.019925,0.019977,0.019501
53,0.276505,0.239572,0.261795,0.253121,0.270699,0.244897,0.202334,0.233949,0.211552,0.229525,0.863117,0.852666,0.85816,0.855702,0.849613,0.020366,0.020896,0.02066,0.020656,0.020636,0.019028,0.019773,0.019792,0.019571,0.01976
54,0.284901,0.231501,0.289107,0.244226,0.293332,0.255959,0.195071,0.253045,0.199148,0.257193,0.859602,0.843144,0.851631,0.838707,0.850085,0.019872,0.020874,0.019918,0.020714,0.019784,0.018408,0.019917,0.019021,0.019197,0.01858
55,0.30495,0.263248,0.306609,0.26507,0.289541,0.242333,0.221235,0.245424,0.226147,0.241952,0.867375,0.851575,0.861548,0.850906,0.864701,0.020348,0.020705,0.020475,0.020695,0.020381,0.018693,0.019257,0.019678,0.019573,0.019213
56,0.282613,0.242757,0.281633,0.257519,0.27668,0.242155,0.21766,0.238008,0.219245,0.240947,0.857306,0.857187,0.860459,0.854974,0.862172,0.020206,0.020785,0.020564,0.020703,0.020433,0.019216,0.019762,0.01992,0.019461,0.019631
57,0.278906,0.223839,0.294251,0.236501,0.284843,0.233768,0.195237,0.232877,0.196853,0.238691,0.860294,0.849119,0.85475,0.844332,0.860815,0.020422,0.020993,0.020612,0.020888,0.020743,0.01906,0.01938,0.01949,0.01957,0.019576
58,0.295716,0.24632,0.261648,0.255284,0.248829,0.233081,0.214886,0.233865,0.216599,0.227751,0.866678,0.849429,0.863869,0.849997,0.862014,0.020346,0.020695,0.02063,0.02059,0.020721,0.018625,0.019467,0.019686,0.019265,0.019723
59,0.285968,0.247052,0.285115,0.25045,0.292853,0.245954,0.220301,0.250273,0.221741,0.251664,0.865371,0.849289,0.855064,0.847013,0.858689,0.020294,0.020711,0.020283,0.020596,0.020381,0.018994,0.019447,0.019764,0.019532,0.019608
60,0.276317,0.229691,0.268232,0.253145,0.290586,0.225194,0.198558,0.236639,0.215794,0.239844,0.856659,0.855794,0.860413,0.85672,0.865831,0.020524,0.020972,0.020535,0.020745,0.020504,0.019034,0.019909,0.019851,0.019725,0.019783
61,0.276574,0.254457,0.270081,0.227736,0.269679,0.228741,0.20405,0.244956,0.212367,0.243945,0.852257,0.840717,0.859265,0.845014,0.859724,0.020621,0.020844,0.020375,0.020681,0.020319,0.019378,0.019226,0.019601,0.019291,0.01934
62,0.269025,0.243147,0.278601,0.258005,0.278845,0.240172,0.205239,0.235773,0.203289,0.230288,0.85048,0.846807,0.849521,0.847174,0.846994,0.020275,0.020873,0.020219,0.02086,0.020447,0.018696,0.019562,0.019175,0.019655,0.019182
63,0.30535,0.247817,0.302916,0.236629,0.281293,0.23818,0.219143,0.253704,0.225943,0.242742,0.862285,0.860375,0.870154,0.865125,0.868861,0.020219,0.020714,0.02027,0.020563,0.020582,0.018618,0.019655,0.019516,0.019273,0.019735
64,0.285617,0.243043,0.285411,0.246741,0.270295,0.233346,0.194953,0.235909,0.191877,0.230372,0.864116,0.852414,0.857412,0.852885,0.853701,0.020468,0.020903,0.020402,0.021071,0.020519,0.018976,0.019884,0.019184,0.019881,0.019458
65,0.288444,0.24471,0.274413,0.252285,0.264143,0.234057,0.216213,0.244353,0.212396,0.247831,0.864533,0.857979,0.863498,0.857699,0.860804,0.020456,0.020614,0.020521,0.020783,0.020352,0.019275,0.019525,0.019841,0.019715,0.019388
66,0.261323,0.239427,0.259719,0.232537,0.247032,0.235872,0.201525,0.230898,0.211952,0.234427,0.86029,0.858669,0.868071,0.855832,0.865171,0.020556,0.020884,0.020557,0.020942,0.020652,0.019171,0.019791,0.019653,0.019942,0.019612
67,0.280276,0.240981,0.266294,0.222873,0.268791,0.245001,0.203285,0.233894,0.190863,0.233647,0.857036,0.853007,0.858533,0.853875,0.859141,0.020337,0.020917,0.020469,0.021174,0.020503,0.018852,0.019861,0.019514,0.020274,0.01975
68,0.268917,0.239936,0.264477,0.244078,0.292363,0.219289,0.196024,0.218817,0.19341,0.232106,0.856948,0.853277,0.855612,0.849957,0.85848,0.020552,0.021054,0.020636,0.021068,0.0205,0.01888,0.019692,0.019592,0.020163,0.019273
69,0.286945,0.233556,0.295034,0.256754,0.281622,0.249253,0.216463,0.249365,0.207405,0.249656,0.867449,0.855491,0.866099,0.85547,0.865226,0.020167,0.020652,0.020342,0.020699,0.020435,0.018606,0.019253,0.019308,0.019872,0.019895
70,0.282438,0.276173,0.292374,0.275894,0.289585,0.227617,0.207822,0.241861,0.205814,0.237624,0.874327,0.861868,0.874221,0.863828,0.875018,0.020524,0.021013,0.020403,0.021054,0.02065,0.019245,0.019859,0.019414,0.019895,0.019818
71,0.289263,0.22875,0.285557,0.251897,0.301135,0.234516,0.202602,0.230114,0.211232,0.236816,0.857133,0.848412,0.857687,0.852161,0.854054,0.020356,0.020805,0.020515,0.02075,0.020311,0.019039,0.019409,0.019541,0.019019,0.018851
72,0.285136,0.234104,0.26505,0.228051,0.273784,0.222219,0.197256,0.23377,0.186515,0.229781,0.855151,0.843869,0.852617,0.840843,0.852783,0.020743,0.021082,0.020794,0.021219,0.020775,0.01926,0.019841,0.019715,0.019755,0.019744
73,0.266486,0.230064,0.283891,0.242323,0.28885,0.230412,0.199295,0.249227,0.200989,0.24627,0.874669,0.865988,0.87511,0.865394,0.874067,0.020434,0.021021,0.020455,0.020963,0.020543,0.018979,0.01987,0.019453,0.019425,0.019606
74,0.273054,0.221609,0.286528,0.241057,0.263727,0.221771,0.193471,0.216158,0.184134,0.222711,0.854985,0.838094,0.847855,0.832424,0.849998,0.020404,0.020877,0.020805,0.021355,0.020695,0.018578,0.019626,0.019663,0.019986,0.019461
