metric,mean,ci_low,ci_high
O.f1,0.04460333872476562,0.04212342440565291,0.04708325304387834
F_m.f1,0.0368454727026176,0.034371983954422085,0.039318961450813115
OF_m.f1,0.030263254265477477,0.027910998523917315,0.03261551000703764
F_mw.f1,0.0368454727026176,0.034371983954422085,0.039318961450813115
OF_mw.f1,0.02961136805832489,0.02726574986315963,0.03195698625349015
O.AUPRC,0.05802027725300256,0.05711840564635761,0.05892214885964751
F_m.AUPRC,0.05742538152481952,0.05639519041177492,0.05845557263786412
OF_m.AUPRC,0.05772284604083283,0.05664013743130856,0.058805554650357104
F_mw.AUPRC,0.05742538152481952,0.05639519041177492,0.05845557263786412
OF_mw.AUPRC,0.05740543788675903,0.05639235478746284,0.058418520986055225
O.AUROC,0.6826847300986185,0.6808615265710534,0.6845079336261837
F_m.AUROC,0.6767423344081045,0.6746304487856801,0.6788542200305289
OF_m.AUROC,0.6799342454810351,0.6779438740599428,0.6819246169021274
F_mw.AUROC,0.6767423344081045,0.6746304487856801,0.6788542200305289
OF_mw.AUROC,0.6781836896366326,0.6762150621764623,0.6801523170968028
O.Brier,0.021953557610778315,0.02194370641257422,0.02196340880898241
F_m.Brier,0.021996497128905158,0.021986078814334405,0.02200691544347591
OF_m.Brier,0.022009773316523765,0.02199946424966588,0.02202008238338165
F_mw.Brier,0.021996497128905158,0.021986078814334405,0.02200691544347591
OF_mw.Brier,0.022006832665582746,0.021997668887782883,0.022015996443382608
O.ECE,0.01985073150696975,0.01982637982536435,0.01987508318857515
F_m.ECE,0.020336500669938376,0.0203103392747433,0.02036266206513345
OF_m.ECE,0.020670834940184547,0.020646280389340375,0.02069538949102872
F_mw.ECE,0.020336500669938376,0.0203103392747433,0.02036266206513345
OF_mw.ECE,0.0206429492718025,0.020621621680115474,0.02066427686348953
