_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.094878,0.059668,0.05144,0.03734,0.027635,0.074819,0.064849,0.074804,0.060077,0.068857,0.68809,0.688347,0.705415,0.670057,0.688126,0.021836,0.021965,0.021917,0.021965,0.021934,0.020036,0.020384,0.020657,0.020386,0.020701
2,0.047525,0.032037,0.037706,0.019372,0.024104,0.059874,0.054035,0.055694,0.047548,0.053406,0.677274,0.67173,0.682222,0.671457,0.685604,0.021957,0.022,0.022024,0.022058,0.022028,0.019928,0.020274,0.020678,0.020292,0.020529
3,0.050114,0.031393,0.040359,0.034159,0.020044,0.063186,0.059834,0.057813,0.05361,0.059079,0.693056,0.674659,0.67745,0.663994,0.675297,0.021882,0.022012,0.021992,0.022037,0.021994,0.019809,0.020487,0.020742,0.020473,0.020556
4,0.028135,0.029857,0.048278,0.034633,0.028889,0.048703,0.051846,0.056105,0.045973,0.051269,0.671052,0.663555,0.663287,0.652081,0.658247,0.021984,0.02199,0.021983,0.022043,0.022013,0.019864,0.020267,0.020505,0.020189,0.020533
5,0.043519,0.023108,0.008,0.037043,0.01187,0.059104,0.052551,0.050014,0.052488,0.052194,0.669249,0.677625,0.678055,0.669833,0.669844,0.02196,0.02209,0.022089,0.02205,0.022086,0.019722,0.020632,0.020716,0.020437,0.020732
6,0.051018,0.033921,0.032951,0.049125,0.035403,0.053583,0.06115,0.060438,0.060532,0.061614,0.690886,0.685498,0.686678,0.681077,0.679902,0.022002,0.022069,0.022001,0.021962,0.021933,0.019868,0.020505,0.02074,0.020289,0.020578
7,0.045485,0.027398,0.016959,0.023685,0.028393,0.060472,0.059004,0.056917,0.0564,0.059746,0.684014,0.676045,0.678242,0.677521,0.678689,0.021895,0.021981,0.021995,0.021959,0.021973,0.019633,0.020257,0.020495,0.020207,0.02052
8,0.043492,0.039046,0.053135,0.053593,0.056809,0.058672,0.052781,0.068647,0.056456,0.05947,0.690913,0.661215,0.677354,0.654197,0.680532,0.021948,0.022035,0.021887,0.021946,0.021979,0.019675,0.020096,0.020436,0.01996,0.020404
9,0.038345,0.017686,0.032822,0.021054,0.019679,0.053457,0.056286,0.053622,0.053536,0.056973,0.664941,0.665094,0.663918,0.664813,0.668078,0.02194,0.021973,0.022004,0.02197,0.021964,0.019878,0.020274,0.020615,0.020079,0.020613
10,0.052531,0.032078,0.024089,0.033416,0.016753,0.065899,0.061492,0.054219,0.055021,0.056982,0.693985,0.681831,0.679614,0.677432,0.683663,0.021897,0.021933,0.021998,0.021971,0.022,0.019918,0.020293,0.020508,0.020346,0.020589
11,0.05454,0.043619,0.038454,0.038449,0.040771,0.06345,0.058738,0.060425,0.05456,0.062367,0.677094,0.685329,0.678966,0.67,0.676275,0.021873,0.021956,0.022006,0.021983,0.021955,0.019631,0.020259,0.02061,0.02024,0.020595
12,0.070808,0.075549,0.045999,0.054945,0.050216,0.063087,0.067958,0.059765,0.05666,0.06173,0.686458,0.672093,0.675781,0.664713,0.675647,0.021906,0.021859,0.021973,0.021962,0.02194,0.019767,0.020103,0.020408,0.0202,0.020401
13,0.043752,0.030319,0.037035,0.045951,0.03999,0.061253,0.056765,0.056918,0.059234,0.055323,0.682912,0.672741,0.674551,0.680912,0.676643,0.021892,0.021953,0.022019,0.021961,0.021992,0.01983,0.020332,0.020772,0.020269,0.020544
14,0.037914,0.019312,0.016082,0.033176,0.027604,0.054432,0.051554,0.052941,0.054352,0.052183,0.683578,0.685467,0.682087,0.67654,0.671896,0.022006,0.022103,0.022037,0.022087,0.022081,0.019916,0.02055,0.020722,0.020414,0.020827
15,0.043751,0.033026,0.028275,0.032567,0.035531,0.056093,0.054094,0.059949,0.055823,0.059869,0.702117,0.674071,0.684727,0.677045,0.68287,0.021957,0.022017,0.021958,0.021973,0.021939,0.020017,0.020245,0.020528,0.020419,0.020585
16,0.055571,0.05644,0.047758,0.055475,0.040453,0.059295,0.055531,0.061868,0.057851,0.061547,0.676938,0.650704,0.663308,0.653852,0.655573,0.021899,0.021988,0.021904,0.021932,0.021919,0.019526,0.020422,0.020305,0.020077,0.020518
17,0.06182,0.048627,0.031551,0.030948,0.041264,0.063866,0.066705,0.058533,0.056226,0.05965,0.688058,0.683892,0.685882,0.683601,0.682654,0.021919,0.021963,0.022079,0.021999,0.02204,0.019857,0.02023,0.020844,0.020266,0.020834
18,0.046883,0.054036,0.030984,0.021305,0.031458,0.061376,0.058479,0.056525,0.056683,0.054226,0.680205,0.671813,0.675876,0.668157,0.670082,0.021926,0.021971,0.022007,0.022005,0.022053,0.019632,0.020372,0.02069,0.020326,0.020605
19,0.027386,0.031386,0.027165,0.023228,0.018304,0.05143,0.048226,0.051703,0.047584,0.050957,0.682479,0.657645,0.666724,0.672319,0.663117,0.021996,0.02204,0.022024,0.022038,0.022027,0.019739,0.02032,0.020642,0.020209,0.020583
20,0.051591,0.049466,0.056097,0.052566,0.062044,0.06102,0.061249,0.065327,0.061281,0.065517,0.686743,0.688802,0.684726,0.682874,0.681287,0.021999,0.021977,0.02189,0.021962,0.021924,0.020056,0.020464,0.020502,0.020295,0.020669
21,0.032111,0.019309,0.012259,0.018955,0.016446,0.051261,0.051356,0.0498,0.048419,0.049066,0.674748,0.661567,0.66579,0.654481,0.66146,0.022063,0.02211,0.022141,0.022056,0.022065,0.019986,0.020577,0.020804,0.020165,0.020813
22,0.03984,0.043238,0.040598,0.055208,0.050184,0.063858,0.064027,0.060481,0.064089,0.064436,0.678749,0.684302,0.671944,0.672719,0.667056,0.02189,0.021941,0.021974,0.021934,0.021959,0.019802,0.020477,0.020696,0.020165,0.020765
23,0.059759,0.041101,0.032545,0.03601,0.019889,0.058808,0.062143,0.059839,0.052923,0.050263,0.678382,0.681028,0.678043,0.665043,0.662956,0.021923,0.021961,0.022002,0.022026,0.022066,0.019831,0.020349,0.020646,0.020312,0.020688
24,0.044621,0.027476,0.035068,0.02164,0.020478,0.059459,0.055028,0.064164,0.056643,0.059751,0.680928,0.692636,0.70048,0.685504,0.696724,0.021903,0.022058,0.021951,0.022017,0.021983,0.019743,0.020543,0.020504,0.020451,0.020705
25,0.069312,0.042663,0.028908,0.036025,0.016425,0.058966,0.065283,0.063076,0.058012,0.055874,0.671311,0.672816,0.674002,0.667762,0.672419,0.021913,0.021887,0.021935,0.02196,0.021965,0.019836,0.02026,0.020754,0.020287,0.020607
26,0.032057,0.023733,0.024605,0.022219,0.019749,0.054313,0.049729,0.055184,0.051511,0.053447,0.693937,0.694361,0.686781,0.685103,0.688185,0.02201,0.022059,0.022054,0.022039,0.022069,0.019922,0.020358,0.020635,0.02032,0.020656
27,0.040195,0.026423,0.008088,0.015242,0.027532,0.055035,0.05416,0.051755,0.048454,0.052859,0.67117,0.687662,0.681143,0.67404,0.67603,0.021958,0.022033,0.022068,0.02204,0.022029,0.019813,0.020285,0.020756,0.020236,0.020632
28,0.036779,0.008121,0.025203,0.035106,0.008333,0.055017,0.053777,0.055495,0.048785,0.048303,0.669277,0.653804,0.673376,0.646591,0.662387,0.02198,0.021987,0.022075,0.022069,0.022069,0.019963,0.020409,0.020925,0.020489,0.020756
29,0.048822,0.032706,0.036876,0.026717,0.028136,0.052419,0.052068,0.052393,0.051412,0.050606,0.6632,0.669019,0.672537,0.678693,0.662813,0.021925,0.022017,0.02196,0.022004,0.022,0.019734,0.020251,0.020402,0.020107,0.020456
30,0.04976,0.037342,0.025177,0.031708,0.0125,0.056204,0.061926,0.062527,0.058222,0.052771,0.683266,0.673834,0.693071,0.683005,0.679606,0.021989,0.021958,0.021965,0.021988,0.022046,0.019801,0.020223,0.020609,0.020295,0.020745
