metric,mean,ci_low,ci_high
O.f1,0.44173715329614205,0.44173715329614205,0.44173715329614205
F_m.f1,0.4386669996419251,0.4386669996419251,0.4386669996419251
OF_m.f1,0.45757336887258615,0.45757336887258615,0.45757336887258615
F_mw.f1,0.4386669996419251,0.4386669996419251,0.4386669996419251
OF_mw.f1,0.4678453785913765,0.4678453785913765,0.4678453785913765
O.AUPRC,0.4520861305537245,0.4520861305537245,0.4520861305537245
F_m.AUPRC,0.46122369886098796,0.4612236988609879,0.461223698860988
OF_m.AUPRC,0.4643615529547847,0.46436155295478465,0.46436155295478476
F_mw.AUPRC,0.46122369886098796,0.4612236988609879,0.461223698860988
OF_mw.AUPRC,0.46660276565395103,0.46660276565395103,0.46660276565395103
O.AUROC,0.9088630364659305,0.9088630364659305,0.9088630364659305
F_m.AUROC,0.9093836018046971,0.909383601804697,0.9093836018046972
OF_m.AUROC,0.9102840892946028,0.9102840892946028,0.9102840892946028
F_mw.AUROC,0.9093836018046971,0.909383601804697,0.9093836018046972
OF_mw.AUROC,0.9087099342305293,0.9087099342305293,0.9087099342305293
O.Brier,0.01647716792388137,0.01647716792388137,0.01647716792388137
F_m.Brier,0.016815242326259746,0.016815242326259746,0.016815242326259746
OF_m.Brier,0.016404070876627132,0.016404070876627132,0.016404070876627132
F_mw.Brier,0.016815242326259746,0.016815242326259746,0.016815242326259746
OF_mw.Brier,0.016456891989679895,0.016456891989679895,0.016456891989679895
O.ECE,0.015533674700767322,0.015533674700767322,0.015533674700767322
F_m.ECE,0.01654309516134105,0.01654309516134105,0.01654309516134105
OF_m.ECE,0.015805733089111654,0.015805733089111654,0.015805733089111654
F_mw.ECE,0.01654309516134105,0.01654309516134105,0.01654309516134105
OF_mw.ECE,0.016295761117979563,0.016295761117979563,0.016295761117979563
