_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
2,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
3,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
4,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
5,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
6,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
7,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
8,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
9,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
10,0.441737,0.438667,0.457573,0.433123,0.467845,0.452086,0.461224,0.464362,0.449589,0.466603,0.908863,0.909384,0.910284,0.910136,0.90871,0.016477,0.016815,0.016404,0.016884,0.016457,0.015534,0.016543,0.015806,0.016372,0.016296
