_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.067162,0.074639,0.052891,0.074639,0.070691,0.071712,0.070071,0.071602,0.070071,0.072165,0.689538,0.681633,0.682886,0.681633,0.68703,0.021839,0.021838,0.02189,0.021838,0.021857,0.019806,0.019825,0.020506,0.019825,0.020559
2,0.025983,0.029637,0.029011,0.029637,0.029038,0.05409,0.048928,0.059053,0.048928,0.05599,0.678366,0.675831,0.678713,0.675831,0.682747,0.021999,0.022041,0.022018,0.022041,0.022083,0.019972,0.020089,0.020541,0.020089,0.020641
3,0.072643,0.011689,0.02007,0.011689,0.020131,0.066863,0.047709,0.054553,0.047709,0.055605,0.685315,0.666996,0.682281,0.666996,0.680418,0.021868,0.022127,0.022077,0.022127,0.022049,0.019722,0.020385,0.020758,0.020385,0.020669
4,0.020758,0.0325,0.027166,0.0325,0.041576,0.048116,0.054141,0.053507,0.054141,0.052715,0.670703,0.659723,0.664672,0.659723,0.667854,0.022045,0.021947,0.021972,0.021947,0.021973,0.019932,0.01997,0.020242,0.01997,0.020274
5,0.054833,0.010847,0.011251,0.010847,0.018888,0.063041,0.043929,0.05113,0.043929,0.049997,0.683771,0.659335,0.672796,0.659335,0.674486,0.021955,0.022096,0.022059,0.022096,0.022081,0.019741,0.020317,0.020647,0.020317,0.020656
6,0.036323,0.01653,0.024542,0.01653,0.026255,0.05829,0.051795,0.058638,0.051795,0.056335,0.692904,0.668102,0.68909,0.668102,0.686222,0.021934,0.022015,0.021969,0.022015,0.021983,0.019813,0.020177,0.020477,0.020177,0.020477
7,0.039535,0.018819,0.023068,0.018819,0.046395,0.056009,0.05009,0.05117,0.05009,0.064445,0.683884,0.679805,0.683588,0.679805,0.68704,0.021944,0.022015,0.022025,0.022015,0.021955,0.019834,0.020181,0.020539,0.020181,0.020355
8,0.044329,0.043262,0.023243,0.043262,0.018133,0.060101,0.049757,0.052718,0.049757,0.054578,0.694054,0.661631,0.674131,0.661631,0.680871,0.021902,0.022038,0.022039,0.022038,0.022036,0.019451,0.020076,0.02059,0.020076,0.02056
9,0.049728,0.036117,0.018941,0.036117,0.024129,0.054709,0.050784,0.045887,0.050784,0.04846,0.666137,0.660839,0.649851,0.660839,0.660748,0.02191,0.021999,0.022065,0.021999,0.022059,0.019475,0.020005,0.020558,0.020005,0.020574
10,0.050789,0.034458,0.050668,0.034458,0.053725,0.069794,0.053461,0.067694,0.053461,0.061756,0.691762,0.668773,0.679954,0.668773,0.681897,0.021839,0.021987,0.02189,0.021987,0.021945,0.019696,0.020241,0.020516,0.020241,0.020372
11,0.048119,0.044403,0.050802,0.044403,0.038764,0.063908,0.053882,0.059268,0.053882,0.058722,0.680508,0.662761,0.675483,0.662761,0.671114,0.021867,0.021979,0.021953,0.021979,0.021957,0.019595,0.020049,0.020456,0.020049,0.020508
12,0.075312,0.035587,0.047982,0.035587,0.038484,0.067127,0.059514,0.062302,0.059514,0.058962,0.681735,0.665025,0.675565,0.665025,0.682548,0.021861,0.021989,0.021967,0.021989,0.021986,0.019693,0.020313,0.020534,0.020313,0.020647
13,0.054012,0.015027,0.024012,0.015027,0.027642,0.064886,0.046836,0.055638,0.046836,0.050532,0.68917,0.668521,0.675965,0.668521,0.679289,0.021855,0.022051,0.022031,0.022051,0.022055,0.019701,0.020296,0.020715,0.020296,0.020785
14,0.044349,0.023966,0.020222,0.023966,0.022583,0.056959,0.05172,0.051898,0.05172,0.056719,0.692403,0.66563,0.668011,0.66563,0.666697,0.02198,0.021998,0.022055,0.021998,0.02199,0.019805,0.020054,0.020727,0.020054,0.020587
15,0.04444,0.02419,0.012247,0.02419,0.028598,0.059651,0.053964,0.05562,0.053964,0.056142,0.703213,0.673944,0.68957,0.673944,0.692342,0.021937,0.02203,0.021973,0.02203,0.022001,0.01995,0.020194,0.020509,0.020194,0.020513
16,0.046347,0.015571,0.020756,0.015571,0.027487,0.066063,0.051233,0.051683,0.051233,0.052177,0.680893,0.668286,0.671227,0.668286,0.666374,0.021852,0.022042,0.022013,0.022042,0.022035,0.019777,0.020432,0.020547,0.020432,0.020647
17,0.055722,0.040686,0.030787,0.040686,0.035949,0.06216,0.057123,0.05981,0.057123,0.059928,0.689959,0.692502,0.697905,0.692502,0.700333,0.021953,0.021937,0.022027,0.021937,0.022059,0.019982,0.020153,0.020741,0.020153,0.020751
18,0.033998,0.026661,0.039414,0.026661,0.036495,0.062499,0.054303,0.061537,0.054303,0.059646,0.684013,0.672259,0.678659,0.672259,0.681054,0.021916,0.022002,0.02198,0.022002,0.022003,0.019802,0.020326,0.020731,0.020326,0.020608
19,0.043008,0.018252,0.022421,0.018252,0.019511,0.051538,0.045644,0.051964,0.045644,0.04972,0.676242,0.674305,0.683455,0.674305,0.682917,0.022002,0.022054,0.022024,0.022054,0.022047,0.019832,0.020077,0.020327,0.020077,0.020584
20,0.056867,0.049538,0.045049,0.049538,0.049061,0.060377,0.060865,0.069281,0.060865,0.06854,0.681082,0.670168,0.676056,0.670168,0.673672,0.021971,0.02198,0.021918,0.02198,0.021917,0.019861,0.020317,0.020527,0.020317,0.020559
21,0.025416,0.036619,0.017589,0.036619,0.016644,0.048443,0.056725,0.057232,0.056725,0.052173,0.675749,0.674013,0.671532,0.674013,0.672005,0.022054,0.021982,0.022045,0.021982,0.022074,0.020031,0.020289,0.020678,0.020289,0.020679
22,0.052757,0.062927,0.036502,0.062927,0.043049,0.05946,0.066109,0.056229,0.066109,0.062757,0.675602,0.675315,0.667598,0.675315,0.671725,0.021934,0.021877,0.022011,0.021877,0.021987,0.019802,0.020035,0.020608,0.020035,0.020728
23,0.031711,0.008003,0.016183,0.008003,0.023331,0.055845,0.049723,0.049975,0.049723,0.055231,0.676152,0.662247,0.669131,0.662247,0.679348,0.02198,0.022025,0.022132,0.022025,0.022053,0.019903,0.020167,0.020797,0.020167,0.020689
24,0.042332,0.037545,0.035783,0.037545,0.0224,0.054824,0.050098,0.054812,0.050098,0.05475,0.690006,0.687017,0.684901,0.687017,0.691392,0.021954,0.022105,0.022041,0.022105,0.022073,0.019865,0.020429,0.02062,0.020429,0.020701
25,0.060929,0.03887,0.052525,0.03887,0.040246,0.061117,0.046292,0.057786,0.046292,0.064014,0.673174,0.66188,0.666077,0.66188,0.67506,0.021861,0.022002,0.021964,0.022002,0.02194,0.019807,0.020058,0.020491,0.020058,0.020532
26,0.02541,0.03278,0.036486,0.03278,0.031646,0.052658,0.05234,0.058464,0.05234,0.058737,0.686442,0.66228,0.682338,0.66228,0.68091,0.02202,0.021985,0.021976,0.021985,0.021948,0.019902,0.020146,0.020529,0.020146,0.020488
27,0.043891,0.011704,0.016189,0.011704,0.027541,0.053595,0.048552,0.047123,0.048552,0.052869,0.668497,0.677462,0.672915,0.677462,0.664644,0.021995,0.022054,0.022069,0.022054,0.022072,0.019747,0.020172,0.020518,0.020172,0.020627
28,0.01674,0.027075,0.032356,0.027075,0.032051,0.051495,0.043216,0.051255,0.043216,0.055703,0.665512,0.655729,0.662216,0.655729,0.664128,0.021994,0.02207,0.022028,0.02207,0.021989,0.019791,0.020072,0.02062,0.020072,0.020538
29,0.053769,0.037204,0.031708,0.037204,0.020418,0.055766,0.047588,0.054089,0.047588,0.048406,0.675998,0.65559,0.669599,0.65559,0.658419,0.021901,0.02201,0.021992,0.02201,0.02203,0.019649,0.019937,0.020486,0.019937,0.020485
