metric,intervention_mean,original,delta
O.f1,0.4111219373738341,0.4111,2.1937373834102214e-05
F_m.f1,0.3648803003693359,,
OF_m.f1,0.452929893507662,0.4502,0.0027298935076620068
F_mw.f1,0.3743408932851785,,
OF_mw.f1,0.4505989733529623,0.452,-0.0014010266470377286
O.AUPRC,0.40886351446218355,0.4089,-3.6485537816433045e-05
F_m.AUPRC,0.3441946786547118,,
OF_m.AUPRC,0.42963606835582835,0.4293,0.00033606835582833394
F_mw.AUPRC,0.34612662561208857,,
OF_mw.AUPRC,0.4218012334269512,0.4378,-0.015998766573048828
O.AUROC,0.9041626964303824,0.9042,-3.730356961761938e-05
F_m.AUROC,0.8903136403424066,,
OF_m.AUROC,0.9116320344049881,0.9104,0.0012320344049880916
F_mw.AUROC,0.8892401844440024,,
OF_mw.AUROC,0.9118980831772268,0.9116,0.00029808317722679334
O.Brier,0.016748985637952945,0.0167,4.898563795294533e-05
F_m.Brier,0.018143792671589668,,
OF_m.Brier,0.01659681556631935,0.0166,-3.184433680650245e-06
F_mw.Brier,0.01808473289445706,,
OF_mw.Brier,0.01674848313652114,0.0164,0.00034848313652113827
O.ECE,0.012568261389451836,0.0126,-3.1738610548164015e-05
F_m.ECE,0.01367305853835435,,
OF_m.ECE,0.013435091040216326,0.0138,-0.00036490895978367327
F_mw.ECE,0.013027968645906843,,
OF_mw.ECE,0.01347506863737431,0.0133,0.00017506863737431003
