metric,mean,ci_low,ci_high
O.f1,0.4111219373738341,0.4111219373738341,0.4111219373738341
F_m.f1,0.3648803003693359,0.3648803003693359,0.3648803003693359
OF_m.f1,0.452929893507662,0.452929893507662,0.452929893507662
F_mw.f1,0.3743408932851785,0.3743408932851785,0.3743408932851785
OF_mw.f1,0.4505989733529623,0.4505989733529623,0.4505989733529623
O.AUPRC,0.40886351446218355,0.40886351446218355,0.40886351446218355
F_m.AUPRC,0.3441946786547118,0.34419467865471176,0.34419467865471187
OF_m.AUPRC,0.42963606835582835,0.42963606835582835,0.42963606835582835
F_mw.AUPRC,0.34612662561208857,0.34612662561208857,0.34612662561208857
OF_mw.AUPRC,0.4218012334269512,0.4218012334269512,0.4218012334269512
O.AUROC,0.9041626964303824,0.9041626964303824,0.9041626964303824
F_m.AUROC,0.8903136403424066,0.8903136403424066,0.8903136403424066
OF_m.AUROC,0.9116320344049881,0.9116320344049881,0.9116320344049881
F_mw.AUROC,0.8892401844440024,0.8892401844440024,0.8892401844440024
OF_mw.AUROC,0.9118980831772268,0.9118980831772268,0.9118980831772268
O.Brier,0.016748985637952945,0.016748985637952945,0.016748985637952945
F_m.Brier,0.018143792671589668,0.018143792671589668,0.018143792671589668
OF_m.Brier,0.01659681556631935,0.01659681556631935,0.01659681556631935
F_mw.Brier,0.01808473289445706,0.01808473289445706,0.01808473289445706
OF_mw.Brier,0.01674848313652114,0.01674848313652114,0.01674848313652114
O.ECE,0.012568261389451836,0.012568261389451836,0.012568261389451836
F_m.ECE,0.01367305853835435,0.013673058538354349,0.013673058538354353
OF_m.ECE,0.013435091040216326,0.013435091040216326,0.013435091040216326
F_mw.ECE,0.013027968645906843,0.013027968645906843,0.013027968645906843
OF_mw.ECE,0.01347506863737431,0.01347506863737431,0.01347506863737431
