_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.434014,0.307022,0.419764,0.295545,0.4092,0.39853,0.219239,0.401078,0.226779,0.399157,0.894945,0.870435,0.9028,0.869564,0.902829,0.016954,0.020166,0.017019,0.019989,0.017036,0.013315,0.014309,0.013571,0.014067,0.013638
2,0.421288,0.319944,0.421373,0.320353,0.403872,0.409718,0.245849,0.406983,0.252016,0.404053,0.899287,0.868108,0.903304,0.868079,0.903508,0.0169,0.019583,0.017056,0.019437,0.017145,0.013534,0.013368,0.013191,0.012993,0.013476
3,0.425133,0.297928,0.411102,0.30043,0.419622,0.402951,0.234658,0.394536,0.234635,0.397793,0.896177,0.872819,0.900658,0.877662,0.900357,0.016835,0.019814,0.017107,0.019817,0.017044,0.013157,0.013265,0.013562,0.012833,0.013669
4,0.427811,0.318483,0.418896,0.32213,0.423705,0.402989,0.265161,0.414585,0.257687,0.4145,0.899921,0.874283,0.905202,0.874959,0.905571,0.016824,0.01928,0.01684,0.019341,0.016811,0.013117,0.012897,0.013458,0.012996,0.013003
5,0.431232,0.315717,0.448721,0.329124,0.42486,0.406506,0.260132,0.421581,0.255726,0.415705,0.900607,0.867398,0.901915,0.866632,0.901217,0.0167,0.019245,0.01646,0.019244,0.016631,0.01307,0.012393,0.012773,0.012338,0.013206
6,0.41583,0.34196,0.423446,0.328535,0.418219,0.411488,0.272025,0.423196,0.274694,0.425021,0.897997,0.882989,0.904399,0.884841,0.905452,0.016584,0.018878,0.016458,0.018895,0.016471,0.013497,0.012611,0.013439,0.01246,0.013456
7,0.428713,0.306466,0.408525,0.289728,0.403168,0.407229,0.247515,0.402673,0.253613,0.399459,0.900934,0.86898,0.900372,0.870671,0.90279,0.016705,0.019627,0.016995,0.019595,0.017072,0.01309,0.013435,0.01363,0.013146,0.0135
8,0.40988,0.311773,0.408771,0.317904,0.41463,0.397567,0.245613,0.408831,0.255421,0.407088,0.896753,0.866146,0.902487,0.86967,0.900548,0.016972,0.019405,0.016943,0.019287,0.01691,0.013437,0.013086,0.013789,0.013057,0.013787
9,0.432275,0.339996,0.420726,0.336717,0.430407,0.419828,0.260771,0.419846,0.256879,0.414519,0.90139,0.871605,0.906207,0.870785,0.905636,0.0166,0.019346,0.016702,0.019396,0.016733,0.013023,0.013283,0.013795,0.013003,0.013671
10,0.419084,0.294474,0.410495,0.307432,0.398288,0.395321,0.22468,0.402893,0.223339,0.39821,0.895901,0.856073,0.897808,0.856662,0.898321,0.017093,0.020004,0.01698,0.020013,0.017024,0.012902,0.013895,0.013515,0.014282,0.013564
11,0.420998,0.319307,0.416067,0.309226,0.405823,0.385435,0.235103,0.389871,0.232946,0.389109,0.896635,0.877681,0.905536,0.878436,0.904534,0.017346,0.019692,0.017346,0.019686,0.017353,0.013181,0.013287,0.013836,0.013409,0.013841
12,0.43632,0.330977,0.448409,0.321224,0.444588,0.400658,0.24917,0.4173,0.246679,0.427952,0.896935,0.87184,0.903189,0.873153,0.903158,0.016759,0.019606,0.016623,0.019611,0.01646,0.012578,0.013026,0.012651,0.013114,0.012705
13,0.434664,0.319517,0.437693,0.32747,0.405619,0.412414,0.24737,0.40927,0.24274,0.415979,0.902485,0.878212,0.902366,0.877706,0.903181,0.01687,0.019475,0.016845,0.019394,0.016733,0.012789,0.013055,0.013323,0.013182,0.01314
14,0.432754,0.281804,0.437771,0.304848,0.395493,0.402323,0.221038,0.409397,0.227473,0.404565,0.896259,0.867242,0.900925,0.866173,0.899099,0.016871,0.019963,0.016901,0.019878,0.016907,0.013111,0.01378,0.013767,0.013431,0.013919
15,0.397117,0.302578,0.40771,0.303488,0.417084,0.389738,0.226885,0.386083,0.223141,0.386348,0.891152,0.863427,0.89557,0.86263,0.894682,0.017055,0.019823,0.017207,0.019957,0.017311,0.013396,0.013522,0.013562,0.013534,0.014137
16,0.42485,0.295569,0.407444,0.303541,0.414937,0.401013,0.241298,0.389985,0.241126,0.391804,0.898532,0.871951,0.900635,0.872116,0.900641,0.016885,0.019661,0.017141,0.019547,0.017159,0.013208,0.013981,0.013928,0.013535,0.014079
17,0.425991,0.316853,0.436169,0.323447,0.421983,0.418199,0.239427,0.420075,0.238717,0.422047,0.900845,0.869851,0.907301,0.868932,0.907394,0.016619,0.019838,0.016738,0.019813,0.016728,0.012956,0.013776,0.014012,0.013707,0.013373
18,0.41057,0.301997,0.435943,0.299494,0.428953,0.403206,0.229977,0.41388,0.229925,0.40761,0.891762,0.867072,0.896168,0.866235,0.895563,0.016938,0.019784,0.016888,0.019866,0.016965,0.013617,0.012964,0.013503,0.013927,0.013521
19,0.412566,0.315183,0.423779,0.31555,0.418442,0.41155,0.248229,0.416917,0.245883,0.414277,0.891583,0.867066,0.900518,0.86809,0.900833,0.016718,0.019477,0.016691,0.019511,0.016669,0.013416,0.013345,0.013273,0.01306,0.013611
20,0.402025,0.302214,0.384629,0.302711,0.407782,0.387734,0.235577,0.386947,0.225437,0.389108,0.895074,0.867966,0.89818,0.866522,0.895758,0.017125,0.019911,0.01733,0.019933,0.017196,0.013299,0.013639,0.014217,0.013479,0.013874
21,0.435613,0.331327,0.42602,0.346447,0.436557,0.40662,0.26762,0.420885,0.270175,0.426976,0.895972,0.872551,0.901374,0.872584,0.901668,0.016823,0.019194,0.01666,0.019114,0.016507,0.013029,0.012635,0.013289,0.012548,0.013116
22,0.412111,0.329347,0.418588,0.331706,0.428419,0.406178,0.262538,0.407692,0.260023,0.404475,0.900678,0.870569,0.902128,0.868311,0.90151,0.017063,0.019248,0.017045,0.019245,0.016925,0.013564,0.012763,0.013941,0.013301,0.013713
23,0.420574,0.298115,0.427641,0.296708,0.397938,0.390665,0.237598,0.401125,0.242263,0.394929,0.89462,0.866307,0.899569,0.865571,0.896972,0.017273,0.01966,0.017003,0.019633,0.017135,0.013351,0.013913,0.013527,0.013391,0.013546
24,0.419159,0.320938,0.426875,0.311632,0.405464,0.401349,0.245261,0.404019,0.236496,0.404677,0.899591,0.874487,0.901558,0.872167,0.902404,0.016977,0.019582,0.01709,0.01969,0.017116,0.013702,0.012986,0.013697,0.013197,0.013524
25,0.409776,0.31255,0.424211,0.317247,0.409913,0.391881,0.241933,0.387405,0.23784,0.383801,0.898927,0.870305,0.900187,0.871499,0.899731,0.0171,0.019695,0.017201,0.019806,0.017331,0.013531,0.014151,0.013997,0.013445,0.013951
26,0.432998,0.311596,0.432944,0.30712,0.42629,0.409019,0.243479,0.409581,0.248138,0.414326,0.899111,0.870339,0.900821,0.872237,0.901388,0.016745,0.019709,0.016765,0.019649,0.016753,0.012749,0.013174,0.013294,0.013616,0.013172
27,0.421851,0.312401,0.426708,0.323971,0.405873,0.400899,0.24901,0.40211,0.248591,0.39937,0.89668,0.872034,0.900488,0.869298,0.900453,0.016998,0.019501,0.017008,0.019496,0.017064,0.013543,0.013192,0.013039,0.013374,0.013362
28,0.395397,0.31632,0.421753,0.314835,0.403823,0.414807,0.258213,0.403759,0.256865,0.407949,0.895567,0.864572,0.894131,0.868138,0.896514,0.01678,0.019356,0.017035,0.019317,0.016966,0.013105,0.013092,0.013257,0.012942,0.013441
29,0.439603,0.29832,0.42465,0.311182,0.423991,0.408294,0.243179,0.40148,0.253113,0.398694,0.892437,0.865725,0.899263,0.867872,0.900354,0.016678,0.019473,0.01689,0.019357,0.016941,0.013042,0.012817,0.013504,0.012787,0.013848
30,0.419441,0.323583,0.418561,0.284775,0.417376,0.403554,0.234486,0.396123,0.235015,0.393936,0.89973,0.870821,0.903046,0.868793,0.902,0.016868,0.019907,0.017065,0.019863,0.017046,0.013027,0.013675,0.013872,0.013475,0.014401
31,0.429277,0.327519,0.422097,0.324942,0.412259,0.413762,0.245275,0.406051,0.249783,0.405738,0.900771,0.873167,0.901951,0.873618,0.90336,0.016634,0.019884,0.016856,0.019734,0.016887,0.013144,0.013971,0.013668,0.014031,0.013773
32,0.430621,0.326384,0.427034,0.32941,0.430437,0.402093,0.25865,0.392037,0.266767,0.397756,0.901145,0.869664,0.906563,0.871853,0.906895,0.016914,0.019108,0.017034,0.019122,0.017087,0.013514,0.012446,0.014008,0.013453,0.013771
33,0.404766,0.293923,0.396774,0.306044,0.404038,0.398396,0.242813,0.40171,0.239594,0.401888,0.898081,0.868999,0.902328,0.869833,0.902985,0.017225,0.019498,0.017146,0.019554,0.017109,0.01326,0.013343,0.01394,0.012961,0.013909
34,0.426622,0.328367,0.426864,0.324031,0.409987,0.413611,0.242889,0.41292,0.240306,0.416584,0.901786,0.878727,0.902921,0.879628,0.903927,0.016815,0.019705,0.016846,0.019659,0.016839,0.013152,0.01325,0.013382,0.012978,0.013474
35,0.41252,0.311322,0.427478,0.29731,0.445571,0.397151,0.235416,0.416142,0.233086,0.413894,0.894631,0.874602,0.899011,0.872351,0.900732,0.0169,0.019725,0.016639,0.019775,0.016727,0.013123,0.012795,0.012656,0.013214,0.013068
36,0.424172,0.306248,0.424438,0.306099,0.430774,0.407441,0.249026,0.414374,0.24329,0.413073,0.892435,0.859695,0.898334,0.85998,0.899058,0.016848,0.019448,0.016777,0.019547,0.016788,0.0133,0.01321,0.01327,0.013656,0.01358
37,0.408507,0.343748,0.429747,0.338726,0.446005,0.396056,0.261564,0.406137,0.26324,0.4108,0.888307,0.86105,0.893404,0.862062,0.89487,0.016968,0.019255,0.016736,0.019238,0.016689,0.013999,0.013048,0.013341,0.013058,0.013907
38,0.423326,0.320078,0.427104,0.314723,0.42215,0.404473,0.248497,0.398504,0.250501,0.399621,0.899626,0.863828,0.899659,0.861779,0.9013,0.017004,0.019483,0.016972,0.01947,0.016986,0.013312,0.012952,0.013527,0.012716,0.013428
39,0.428832,0.317428,0.422231,0.328784,0.420046,0.40185,0.230617,0.4134,0.229204,0.409601,0.899632,0.875402,0.907027,0.87669,0.907722,0.016965,0.019897,0.016836,0.019935,0.016912,0.013174,0.013815,0.013361,0.013218,0.013222
40,0.430882,0.28819,0.428074,0.313267,0.412986,0.404472,0.23573,0.404983,0.238554,0.400096,0.895851,0.86045,0.900324,0.862332,0.898098,0.016807,0.019761,0.016896,0.019669,0.016967,0.013168,0.013591,0.013548,0.012938,0.013612
41,0.416776,0.328419,0.431223,0.316797,0.439122,0.413678,0.24626,0.424154,0.245172,0.413757,0.898965,0.871786,0.90576,0.87159,0.90174,0.016721,0.019551,0.01668,0.019621,0.01677,0.013206,0.013358,0.013519,0.013877,0.013563
42,0.412822,0.319238,0.412658,0.307652,0.400952,0.409466,0.215794,0.407054,0.212622,0.40391,0.898319,0.864977,0.904124,0.866699,0.903581,0.016798,0.020215,0.016916,0.020238,0.016966,0.013365,0.013683,0.013307,0.01405,0.013599
43,0.434172,0.325444,0.426761,0.316268,0.426621,0.403311,0.253839,0.41965,0.260939,0.415531,0.894397,0.873816,0.9023,0.873887,0.901726,0.016884,0.01948,0.016771,0.019276,0.016756,0.013284,0.013652,0.013559,0.013058,0.013267
44,0.439411,0.33221,0.419493,0.346032,0.427765,0.41482,0.265786,0.417057,0.260314,0.421849,0.89717,0.876313,0.902935,0.876589,0.901954,0.016772,0.019214,0.016784,0.019281,0.01672,0.013289,0.012395,0.012929,0.012713,0.013154
45,0.40005,0.301956,0.422674,0.312854,0.396866,0.396805,0.229153,0.40383,0.228826,0.3963,0.900655,0.869426,0.898835,0.869692,0.89943,0.016946,0.019909,0.016837,0.019917,0.017024,0.013354,0.013965,0.013108,0.01402,0.013632
46,0.392865,0.310444,0.408889,0.304583,0.397417,0.399577,0.22637,0.409046,0.218831,0.40883,0.899715,0.873302,0.904917,0.87192,0.904548,0.017181,0.019867,0.017028,0.020049,0.016994,0.013574,0.013916,0.014,0.013938,0.013906
47,0.421102,0.324261,0.41403,0.311632,0.426053,0.40025,0.256984,0.412549,0.250574,0.412197,0.900852,0.875582,0.905656,0.873821,0.904669,0.01679,0.019401,0.016745,0.019481,0.016729,0.013106,0.013065,0.013646,0.012914,0.013259
48,0.412326,0.298216,0.444956,0.303478,0.433499,0.403106,0.244832,0.405501,0.240657,0.40923,0.896942,0.865107,0.901952,0.865305,0.901395,0.016879,0.019537,0.017018,0.019639,0.016974,0.013574,0.01338,0.014067,0.013649,0.013897
49,0.432499,0.323897,0.419863,0.334816,0.438706,0.402515,0.257688,0.400686,0.254648,0.401087,0.9056,0.873709,0.911584,0.874402,0.91091,0.017041,0.019364,0.017148,0.019351,0.017037,0.013421,0.012831,0.013438,0.012717,0.013292
50,0.396511,0.304779,0.432086,0.281226,0.425132,0.396626,0.234078,0.410228,0.227192,0.405931,0.89838,0.869425,0.905159,0.870221,0.905286,0.017092,0.019837,0.016884,0.019987,0.016955,0.013764,0.014036,0.012945,0.013993,0.01314
51,0.413967,0.319222,0.423186,0.3187,0.423931,0.401264,0.238887,0.400458,0.24145,0.405186,0.894686,0.869461,0.897528,0.869553,0.898433,0.016924,0.019655,0.016979,0.019565,0.016863,0.013069,0.013188,0.013463,0.013049,0.013512
52,0.4254,0.326722,0.425371,0.333862,0.407558,0.402566,0.261018,0.407352,0.267726,0.400228,0.89387,0.877083,0.902879,0.87652,0.901417,0.016856,0.019377,0.016805,0.019238,0.016828,0.01313,0.013104,0.013681,0.013578,0.013226
53,0.41934,0.306306,0.432947,0.302863,0.439901,0.407041,0.238388,0.407203,0.237971,0.407593,0.89995,0.868703,0.900026,0.869143,0.900254,0.016861,0.019596,0.016806,0.019534,0.016791,0.012962,0.013249,0.012873,0.013115,0.012893
54,0.401821,0.30257,0.428995,0.286047,0.417052,0.391302,0.224694,0.396915,0.218541,0.393744,0.898666,0.873665,0.903648,0.871136,0.902914,0.017058,0.020103,0.017007,0.020208,0.017196,0.013453,0.013846,0.013687,0.014141,0.013839
55,0.424468,0.33327,0.435263,0.331047,0.43525,0.40656,0.262963,0.416204,0.260227,0.415978,0.903009,0.875384,0.908357,0.874006,0.90926,0.016814,0.019354,0.016841,0.019456,0.016811,0.013949,0.013352,0.013788,0.01352,0.013369
56,0.423882,0.305956,0.393873,0.303412,0.397709,0.404816,0.219967,0.397958,0.222897,0.402386,0.895188,0.869214,0.897478,0.867339,0.899753,0.016829,0.020074,0.017211,0.020047,0.017057,0.013202,0.013577,0.014033,0.013451,0.01382
57,0.41381,0.337879,0.433846,0.327012,0.407497,0.408325,0.249507,0.411854,0.257766,0.420073,0.895561,0.867574,0.897623,0.868467,0.899489,0.016625,0.019338,0.016719,0.01927,0.016543,0.013392,0.012534,0.013256,0.01296,0.012998
58,0.414734,0.337324,0.421106,0.344207,0.430526,0.409067,0.261531,0.417849,0.259162,0.412022,0.889708,0.861288,0.897254,0.862876,0.89545,0.016755,0.019119,0.01657,0.019094,0.016632,0.012596,0.012641,0.013356,0.012477,0.013333
59,0.411388,0.308493,0.417778,0.318363,0.397624,0.411451,0.238424,0.418255,0.243336,0.424024,0.896901,0.874021,0.901887,0.875778,0.901021,0.016782,0.01962,0.0166,0.019496,0.016597,0.01312,0.01351,0.013285,0.012803,0.013293
60,0.414681,0.305828,0.403136,0.30955,0.409484,0.399343,0.22825,0.388285,0.225295,0.387167,0.8965,0.869035,0.903104,0.866929,0.903375,0.016987,0.019988,0.017317,0.019982,0.017281,0.013786,0.013661,0.013964,0.013693,0.013817
61,0.412054,0.305011,0.418814,0.308266,0.430494,0.392859,0.254121,0.417079,0.255608,0.41225,0.892361,0.875945,0.901937,0.879244,0.899487,0.017245,0.019732,0.016969,0.019689,0.016897,0.013696,0.013635,0.013795,0.013577,0.013394
