metric,mean,ci_low,ci_high
O.f1,0.42189447925278256,0.4196220674562192,0.4241668910493459
F_m.f1,0.3296270836070889,0.3270168595815688,0.33223730763260906
OF_m.f1,0.4443931670052723,0.44200271367897737,0.44678362033156727
F_mw.f1,0.32974457646350946,0.3267950317577111,0.33269412116930785
OF_mw.f1,0.4456670511567556,0.443048035184769,0.4482860671287422
O.AUPRC,0.3939479740257253,0.3924865941274606,0.39540935392398996
F_m.AUPRC,0.3041584005954019,0.3019718233147255,0.3063449778760783
OF_m.AUPRC,0.4244431054985708,0.4227671838089903,0.42611902718815126
F_mw.AUPRC,0.30357704767990445,0.30135925256247437,0.30579484279733454
OF_mw.AUPRC,0.42439945263267725,0.4228263262257157,0.4259725790396388
O.AUROC,0.9017197785723284,0.9011780929808565,0.9022614641638004
F_m.AUROC,0.884430050597307,0.8835943086237104,0.8852657925709035
OF_m.AUROC,0.9123281318721636,0.9117669793076568,0.9128892844366703
F_mw.AUROC,0.8843462515956594,0.8835072057523976,0.8851852974389212
OF_mw.AUROC,0.9119701128114438,0.9114109466852344,0.9125292789376532
O.Brier,0.01710352049988894,0.01707082279765543,0.01713621820212245
F_m.Brier,0.018885033840559385,0.01883312657003671,0.01893694111108206
OF_m.Brier,0.016731418868995162,0.016694353722232203,0.01676848401575812
F_mw.Brier,0.018892300240008517,0.01884062336368978,0.018943977116327254
OF_mw.Brier,0.016739155866648717,0.01670390515172393,0.016774406581573503
O.ECE,0.01308837020809217,0.013029685523044034,0.013147054893140307
F_m.ECE,0.013981986147213007,0.013889616088216478,0.014074356206209537
OF_m.ECE,0.01364130555100211,0.013576763548512803,0.013705847553491416
F_mw.ECE,0.013997503601112151,0.013913674275008002,0.0140813329272163
OF_mw.ECE,0.013686361643181474,0.013615037200686164,0.013757686085676785
