_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
1,0.423293,0.316952,0.462681,0.331218,0.436801,0.381731,0.306884,0.421374,0.296403,0.416412,0.897325,0.882102,0.911942,0.881253,0.910826,0.017233,0.018849,0.016824,0.018948,0.017006,0.013428,0.01405,0.013683,0.013661,0.01374
2,0.427102,0.331063,0.45275,0.353291,0.464142,0.388923,0.307073,0.414364,0.30274,0.416713,0.898133,0.877309,0.909913,0.880678,0.908473,0.017119,0.01872,0.016907,0.018702,0.016946,0.013096,0.01358,0.014129,0.013159,0.013951
3,0.418699,0.326602,0.44704,0.340991,0.427237,0.394952,0.304548,0.411078,0.29289,0.411058,0.901055,0.879568,0.907477,0.878226,0.907104,0.016928,0.018899,0.016925,0.018978,0.016909,0.013114,0.013422,0.01341,0.014453,0.014095
4,0.423213,0.339441,0.447011,0.340454,0.42288,0.407573,0.300582,0.432312,0.299573,0.428305,0.904236,0.880197,0.911817,0.880065,0.914011,0.016863,0.018948,0.016669,0.019027,0.01673,0.013055,0.014437,0.013309,0.013905,0.01353
5,0.424662,0.32562,0.42054,0.321031,0.415776,0.386696,0.30715,0.417897,0.305181,0.42645,0.90219,0.883266,0.912106,0.88347,0.912087,0.017253,0.018907,0.01697,0.01885,0.016855,0.013492,0.013548,0.01358,0.013288,0.013353
6,0.400841,0.317423,0.450046,0.321138,0.452025,0.395288,0.320116,0.425277,0.320968,0.425332,0.902593,0.894168,0.918726,0.89414,0.917201,0.017233,0.018597,0.016749,0.018594,0.016722,0.013599,0.01375,0.013703,0.013717,0.013758
7,0.42548,0.318197,0.431411,0.326997,0.438695,0.374093,0.304642,0.41611,0.302324,0.414047,0.895064,0.882954,0.908713,0.882507,0.909769,0.017335,0.01884,0.016948,0.018911,0.017035,0.013115,0.01455,0.013757,0.014269,0.0133
8,0.42201,0.328898,0.452573,0.301366,0.45238,0.39142,0.299684,0.425657,0.300053,0.424687,0.901508,0.877419,0.913013,0.878781,0.910437,0.017034,0.018872,0.016594,0.018891,0.016688,0.012673,0.014043,0.013269,0.014145,0.013086
9,0.440583,0.309117,0.448508,0.327591,0.44532,0.407233,0.311842,0.433077,0.31655,0.433994,0.901159,0.889516,0.912448,0.889448,0.913644,0.016804,0.018792,0.016619,0.018686,0.016559,0.012647,0.013596,0.013437,0.013722,0.013533
10,0.432431,0.332708,0.456971,0.328438,0.44408,0.397172,0.31232,0.428473,0.303595,0.420624,0.900177,0.882955,0.911117,0.884811,0.912895,0.017156,0.018642,0.016758,0.018764,0.016912,0.013244,0.01348,0.013883,0.013672,0.014263
11,0.425493,0.32425,0.423642,0.316153,0.429195,0.394152,0.269983,0.417917,0.268922,0.418018,0.904266,0.88288,0.913172,0.881918,0.913511,0.017065,0.019689,0.016756,0.019687,0.016841,0.012999,0.015109,0.01394,0.014677,0.014176
12,0.423243,0.332984,0.448087,0.336593,0.453164,0.402153,0.312166,0.433348,0.310132,0.433401,0.902524,0.884423,0.915332,0.883008,0.913506,0.017042,0.018644,0.016645,0.018708,0.016601,0.012828,0.01349,0.013261,0.0138,0.013523
13,0.407613,0.330954,0.450906,0.32452,0.448722,0.394585,0.296054,0.42509,0.299079,0.426637,0.902747,0.88745,0.913803,0.88913,0.913851,0.017159,0.019092,0.016733,0.019064,0.016703,0.013074,0.014069,0.013337,0.013875,0.013511
