metric,intervention_mean,original,delta
O.f1,0.2786978053655827,0.449,-0.17030219463441731
F_m.f1,0.11477369146601324,,
OF_m.f1,0.2690532364198028,0.5011,-0.2320467635801972
F_mw.f1,0.11263318910025275,,
OF_mw.f1,0.27079206832972924,0.5105,-0.2397079316702707
O.AUPRC,0.23153596361124731,0.45,-0.2184640363887527
F_m.AUPRC,0.10711139150397032,,
OF_m.AUPRC,0.23395225190395624,0.5032,-0.26924774809604374
F_mw.AUPRC,0.10758072181472475,,
OF_mw.AUPRC,0.2343958292687346,0.4978,-0.26340417073126543
O.AUROC,0.8596151999164608,0.9069,-0.04728480008353919
F_m.AUROC,0.7783661225224818,,
OF_m.AUROC,0.8571730505593225,0.9144,-0.05722694944067752
F_mw.AUROC,0.7789717739549463,,
OF_mw.AUROC,0.8576309253083805,0.9181,-0.06046907469161955
O.Brier,0.020471863814185764,0.0164,0.004071863814185762
F_m.Brier,0.021723786264512043,,
OF_m.Brier,0.020544509589428772,0.0157,0.0048445095894287735
F_mw.Brier,0.02172896623333274,,
OF_mw.Brier,0.02054523896620257,0.0159,0.004645238966202569
O.ECE,0.01905742176131154,0.0154,0.003657421761311539
F_m.ECE,0.020358248041053916,,
OF_m.ECE,0.01960214175063267,0.0155,0.004102141750632671
F_mw.ECE,0.020370942162066332,,
OF_mw.ECE,0.019644528806380443,0.0154,0.0042445288063804425
