metric,mean,ci_low,ci_high
O.f1,0.043615017629833414,0.040930241920035804,0.046299793339631024
F_m.f1,0.03139981480902378,0.02887126975792392,0.03392835986012364
OF_m.f1,0.030151669448131788,0.027822505128642348,0.03248083376762123
F_mw.f1,0.03139981480902378,0.02887126975792392,0.03392835986012364
OF_mw.f1,0.03177748401396849,0.029562778471180995,0.03399218955675598
O.AUPRC,0.05785323489981424,0.05683203963409771,0.05887443016553077
F_m.AUPRC,0.0527366020668856,0.05169518812972616,0.05377801600404504
OF_m.AUPRC,0.05659868030909796,0.05557398337759566,0.057623377240600265
F_mw.AUPRC,0.0527366020668856,0.05169518812972616,0.05377801600404504
OF_mw.AUPRC,0.05668752407395552,0.05572663536237208,0.057648412785538956
O.AUROC,0.6825672821460713,0.6807540771500696,0.684380487142073
F_m.AUROC,0.6700630531289167,0.66807071338327,0.6720553928745634
OF_m.AUROC,0.6782158267576694,0.6762533710253404,0.6801782824899985
F_mw.AUROC,0.6700630531289167,0.66807071338327,0.6720553928745634
OF_mw.AUROC,0.6783974021944696,0.6765100489535176,0.6802847554354217
O.Brier,0.021956067810319918,0.02194428602621985,0.021967849594419987
F_m.Brier,0.0220124848139625,0.022001856145662135,0.022023113482262865
OF_m.Brier,0.022013000859688305,0.0220035757138055,0.022022426005571107
F_mw.Brier,0.0220124848139625,0.022001856145662135,0.022023113482262865
OF_mw.Brier,0.022013753223185724,0.02200486919455764,0.022022637251813807
O.ECE,0.01984893330154991,0.01981997099759292,0.019877895605506898
F_m.ECE,0.020190236554042555,0.020162331900505127,0.020218141207579983
OF_m.ECE,0.02059076996008448,0.02056816835487494,0.02061337156529402
F_mw.ECE,0.020190236554042555,0.020162331900505127,0.020218141207579983
OF_mw.ECE,0.02060184965869686,0.02058165768952902,0.0206220416278647
