,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GES,LightGBM,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,
GES,LightGBM,m,0.3923,0.4337,0.9152,0.042,0.0952,0.4296,0.4725,0.9119,0.0294,0.0564,0.4581,0.5015,0.9196,0.0285,0.055
GES,LightGBM,mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4602,0.4915,0.9129,0.023,0.0301,0.4535,0.5039,0.9202,0.0324,0.0716
GES,LightGBM,m+mw,0.3923,0.4337,0.9152,0.042,0.0952,0.4381,0.475,0.9125,0.0238,0.0299,0.4198,0.4681,0.9113,0.0454,0.105
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
GES,XGBoost,m,0.3551,0.4408,0.9097,0.0593,0.1455,0.3626,0.4711,0.9143,0.0593,0.1373,0.362,0.4651,0.918,0.0568,0.1501
GES,XGBoost,mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3756,0.4817,0.9195,0.0514,0.1099,0.3722,0.478,0.9205,0.0522,0.1366
GES,XGBoost,m+mw,0.3551,0.4408,0.9097,0.0593,0.1455,0.3581,0.4481,0.9132,0.0604,0.1354,0.4015,0.4716,0.9197,0.0653,0.1402
NOTEARS,FFMLP,original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
NOTEARS,FFMLP,m,0.4566,0.5032,0.9148,0.0148,0.0076,0.0259,0.0595,0.676,0.0214,0.004,0.4715,0.4919,0.9127,0.0151,0.0073
NOTEARS,FFMLP,mw,0.4566,0.5032,0.9148,0.0148,0.0076,0,0.0302,0.633,0.0217,0.0029,0.5045,0.5102,0.9129,0.0148,0.0071
NOTEARS,FFMLP,m+mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.0181,0.1139,0.7653,0.0208,0.0061,0.4859,0.4987,0.9142,0.0147,0.0069
