GES,LightGBM,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O,O,O,O,O,F,F,F,F,OF,OF,OF,OF,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O
edge_cnt,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
5,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
5,m,,,,,,0.2764,0.2823,0.8847,0.0762,0.1535,0.4307,0.4687,0.9203,0.0354,0.0823,-0.1159,-0.1514,-0.0305,0.0342,0.0583,0.0384,0.035,0.0051,-0.0066,-0.0129,,,,,16391,1094,160,236,16956,529,158,238,-500,500,1,-1,65,-65,-1,1
5,mw,,,,,,0.2758,0.282,0.878,0.0761,0.1623,0.3984,0.4724,0.919,0.0435,0.1052,0.2758,0.282,0.878,0.0761,0.1623,-0.1165,-0.1517,-0.0372,0.0341,0.0671,,,,,16396,1089,166,230,16860,625,155,241,-495,495,7,-7,-31,31,-4,4
10,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
10,m,,,,,,0.3766,0.3831,0.9013,0.0454,0.1078,0.3987,0.4577,0.9143,0.0666,0.1503,-0.0157,-0.0506,-0.0139,0.0034,0.0126,0.0064,0.024,-0.0009,0.0246,0.0551,,,,,16782,703,153,243,16795,690,151,245,-109,109,-6,6,-96,96,-8,8
10,mw,,,,,,0.3621,0.3966,0.8999,0.044,0.1028,0.3643,0.4229,0.9123,0.0985,0.2254,0.3621,0.3966,0.8999,0.044,0.1028,-0.0302,-0.0371,-0.0153,0.002,0.0076,,,,,16754,731,154,242,16646,839,142,254,-137,137,-5,5,-245,245,-17,17
15,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
15,m,,,,,,0.3981,0.4444,0.9118,0.0353,0.0732,0.4124,0.4739,0.9178,0.033,0.0755,0.0058,0.0107,-0.0034,-0.0067,-0.022,0.0201,0.0402,0.0026,-0.009,-0.0197,,,,,16954,531,171,225,16963,522,166,230,63,-63,12,-12,72,-72,7,-7
15,mw,,,,,,0.4088,0.4386,0.9147,0.0409,0.0839,0.4147,0.4792,0.9201,0.0318,0.0708,0.4088,0.4386,0.9147,0.0409,0.0839,0.0165,0.0049,-0.0005,-0.0011,-0.0113,,,,,16961,524,167,229,16978,507,164,232,70,-70,8,-8,87,-87,5,-5
20,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
20,m,,,,,,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035,-0.004,0.0142,-0.0045,0.0033,0.019,0.0692,0.0565,0.0048,-0.0191,-0.0602,,,,,16847,638,166,230,17130,355,178,218,-44,44,7,-7,239,-239,19,-19
20,mw,,,,,,0.4112,0.4548,0.9174,0.036,0.0674,0.4439,0.4836,0.9167,0.0364,0.0817,0.4112,0.4548,0.9174,0.036,0.0674,0.0189,0.0211,0.0022,-0.006,-0.0278,,,,,17020,465,182,214,17031,454,165,231,129,-129,23,-23,140,-140,6,-6
25,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,,16891,594,159,237,,,,,,,,,,,,,,,,
