,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O,O,O,O,O,F,F,F,F,OF,OF,OF,OF,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O
DAG,edges,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
PC,5,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,5,m,,,,,,0,0.0764,0.7332,0.022,0.0285,0,0.1813,0.8076,0.0201,0.0186,0,-0.116,-0.096,0.0019,0.0095,0,-0.0111,-0.0216,0,-0.0004,,,,,16162,1323,237,159,16938,547,211,185,-750,750,29,-29,26,-26,3,-3
PC,10,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,10,m,,,,,,0,0.147,0.8165,0.0206,0.021,0,0.1996,0.8234,0.0208,0.026,0,-0.0454,-0.0127,0.0005,0.002,0,0.0072,-0.0058,0.0007,0.007,,,,,16706,779,211,185,16841,644,218,178,-206,206,3,-3,-71,71,10,-10
PC,15,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,15,m,,,,,,0,0.1673,0.8148,0.0202,0.02,0,0.2119,0.847,0.0199,0.0213,0,-0.0251,-0.0144,1E-04,0.001,0,0.0195,0.0178,-0.0002,0.0023,,,,,16552,933,175,221,16870,615,186,210,-360,360,-33,33,-42,42,-22,22
PC,20,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,20,m,,,,,,0,0.1824,0.8457,0.0199,0.0192,0,0.2204,0.8526,0.0199,0.0223,0,-0.01,0.0165,-0.0002,0.0002,0,0.028,0.0234,-0.0002,0.0033,,,,,16810,675,191,205,16837,648,192,204,-102,102,-17,17,-75,75,-16,16
PC,25,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,25,m,,,,,,0,0.1774,0.8366,0.02,0.019,0,0.2253,0.8471,0.02,0.0234,0,-0.015,0.0074,-1E-04,0,0,0.0329,0.0179,-1E-04,0.0044,,,,,16801,684,199,197,17036,449,216,180,-111,111,-9,9,124,-124,8,-8
PC,29,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,,,,,,,,,,,,16912,573,208,188,,,,,,,,,,,,,,,,
PC,29,m,,,,,,0,0.1424,0.8217,0.0206,0.0204,0.0049,0.2319,0.8492,0.0199,0.0214,0,-0.05,-0.0075,0.0005,0.0014,0.0049,0.0395,0.02,-0.0002,0.0024,,,,,16593,892,215,181,16939,546,200,196,-319,319,7,-7,27,-27,-8,8
