,,,,AUPRC,AUPRC,AUPRC,AUROC,AUROC,AUROC,Brier,Brier,Brier,ECE,ECE,ECE,f1,f1,f1
Set,,,,F,O,OF,F,O,OF,F,O,OF,F,O,OF,F,O,OF
DAG,k,Model,Feature,,,,,,,,,,,,,,,
GES,1,LightGBM,m,0.0366821938238912,,0.4820763890748584,0.6006321948725396,,0.9135682029197529,0.21691523591157033,,0.016893323454305255,0.34435029809250034,,0.013779222441622213,0.05367871088386813,,0.5008085664335665
GES,1,LightGBM,m+mw,0.03412997109537709,,0.48668810608291696,0.5898502870472048,,0.9176127080328916,0.201072752012381,,0.01688801727579621,0.3010551031289925,,0.01366862830377322,0.05220232380713323,,0.4958855236952863
GES,1,LightGBM,mw,0.03707487844314538,,0.48264335382549994,0.6044618398739144,,0.9165218557719692,0.21671223206565982,,0.01680734711057881,0.34371437199717814,,0.0139576936760055,0.05792221736051286,,0.5071152921997384
GES,1,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,1,Logit,m,0.023774158530360343,,0.1299623758740261,0.5197540501807103,,0.848999747515005,0.24997806847892465,,0.17196225406945298,0.47782926082057636,,0.33448142479438603,0.0478086882352668,,0.11667621954353961
GES,1,Logit,m+mw,0.02476029077966142,,0.13075032294954875,0.5304465887741923,,0.8491419583707266,0.24994740840644267,,0.17199509331374352,0.47779485988376963,,0.3344721460372758,0.04948407809846266,,0.11657157524924962
GES,1,Logit,mw,0.02476029077966142,,0.1299679580040328,0.5304465887741923,,0.8490152467909258,0.24996970611795727,,0.17204822427807825,0.47782060133731596,,0.33460322874749976,0.04955975074782807,,0.11651682478609755
GES,1,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,1,RandomForest,m,0.02982963286932035,,0.47936832349278397,0.5125162338261405,,0.9203269933973219,0.03192153288989065,,0.015464703416463147,0.03800675196489879,,0.005342275314093209,0.02670713768664426,,0.3206869009918198
GES,1,RandomForest,m+mw,0.02985300690460675,,0.4748778401293898,0.5114099546582087,,0.915434911558082,0.03165663759483445,,0.015518552297637,0.03783026959642206,,0.005527555684565008,0.02523851026768558,,0.329917265619129
GES,1,RandomForest,mw,0.028971841105757557,,0.4807349189346241,0.5113424974915467,,0.9208383599062163,0.03194682808198337,,0.015478848248696673,0.03808875800763646,,0.005802119246001229,0.026668749982357066,,0.31755382154126705
GES,1,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,1,XGBoost,m,0.03744613856432967,,0.5190966229866228,0.5988075699462567,,0.9263070924980493,0.02174716733846859,,0.014594006213578425,0.0010363075918590641,,0.008883944269503247,0.0,,0.46777952460228905
GES,1,XGBoost,m+mw,0.03672009640972752,,0.5125001691137487,0.5989078597653492,,0.9283004774700135,0.021751233707314327,,0.014628272326724581,0.0009966726920328864,,0.009008444294694645,0.0,,0.4687055152630939
GES,1,XGBoost,mw,0.036520121870327306,,0.5230531186514924,0.6008415745829664,,0.9276776196443148,0.021752928667160484,,0.01446378395081141,0.0010191764073362755,,0.008926954271626658,0.0,,0.48005134415478573
GES,1,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,2,LightGBM,m,0.0779612086348354,,0.48435694455557876,0.6914743488471146,,0.9158391548005553,0.0624852335247668,,0.01706238948381868,0.08608856680772586,,0.014402256688147675,0.1122566973810762,,0.4959008527638137
GES,2,LightGBM,m+mw,0.07613984209179134,,0.4857872870635667,0.6938759294860473,,0.9152669530114643,0.059648809273167916,,0.01701349901262513,0.08192736799748335,,0.013787683842448394,0.11626683131339495,,0.49785081479826926
GES,2,LightGBM,mw,0.07586331276189986,,0.4829970032236373,0.6957999055218249,,0.9168018203635999,0.062177559076883646,,0.017018791532226078,0.08521075220347371,,0.014053790593179788,0.11260409673814017,,0.49443228762631747
GES,2,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,2,Logit,m,0.0592291013641536,,0.12865011293539813,0.7030760055234117,,0.8472436961949773,0.23746199655014183,,0.1716408227935384,0.45662252236918094,,0.3339230647289419,0.060592971125042416,,0.11756580003482316
GES,2,Logit,m+mw,0.05996803024790137,,0.12901688911607823,0.703256021529574,,0.8467108638067362,0.23726862761656792,,0.17160902056788765,0.45595244797306156,,0.33372635601034617,0.06071493618310351,,0.11839680794276668
GES,2,Logit,mw,0.05978059873947287,,0.1284239227568456,0.703125241690988,,0.8473930214294674,0.23747947233600705,,0.17161708678609747,0.45667247775267417,,0.3339238161411654,0.06058672624492575,,0.11788664943306752
GES,2,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,2,RandomForest,m,0.05177642482010392,,0.4730862543454988,0.6681067738953571,,0.9175035842058531,0.02330333025164346,,0.015600110129380954,0.018469587011353247,,0.005738521310944461,0.004878048780487805,,0.3178731067636269
GES,2,RandomForest,m+mw,0.047629974190246095,,0.4742029271060345,0.6574471892925328,,0.9186723704041475,0.023765815477234418,,0.015529612660970032,0.020081375448146328,,0.005625257445762883,0.0047619047619047615,,0.31889518355228985
GES,2,RandomForest,mw,0.051126959912161166,,0.48034634446011815,0.6715635519649,,0.914015565191073,0.02330627520080613,,0.015551616204092747,0.01865843238820883,,0.005793335765547098,0.0,,0.3166000632136913
GES,2,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,2,XGBoost,m,0.06827867653889651,,0.5254549290391511,0.7119873425295256,,0.9270998322710252,0.021547269728049802,,0.014531376739732801,0.004465408201086994,,0.009129387931524627,0.0,,0.4687444783493864
GES,2,XGBoost,m+mw,0.08889796467418801,,0.5202405962784595,0.7234376671729199,,0.927269233960466,0.02161405180845824,,0.014492249309748111,0.007768849887336425,,0.008744401922138666,0.0047619047619047615,,0.48430252840982285
GES,2,XGBoost,mw,0.06758411242282898,,0.5271164603856461,0.7133588891202849,,0.9267129075811237,0.021541906688251226,,0.014515192271177969,0.00465043363801391,,0.008658560959587204,0.0,,0.47584791752041944
GES,2,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,3,LightGBM,m,0.08103954468421383,,0.48355968593726173,0.7198091366246886,,0.9168585812415688,0.04721810172432353,,0.017026513444208413,0.05890164448600434,,0.013643654512653142,0.1302125442767344,,0.48986220275980835
GES,3,LightGBM,m+mw,0.09118270687415608,,0.487262216189335,0.726436033560321,,0.9158966356564152,0.03909208980643547,,0.01680344659200517,0.0429560269647095,,0.01324545148234493,0.1352709342118496,,0.5043706097823746
GES,3,LightGBM,mw,0.07844933675700784,,0.4828092962750697,0.7237635607787479,,0.9142067566115266,0.04738096293647552,,0.017068227671670697,0.05971381758510658,,0.014186220927955837,0.1451117645023463,,0.5054258190050367
GES,3,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,3,Logit,m,0.04543018235046883,,0.1275996131981806,0.7120497873496718,,0.8467255798042466,0.22406456715654785,,0.1719293298762546,0.427087648865359,,0.3338661508752283,0.074787193971959,,0.11761047395793396
GES,3,Logit,m+mw,0.04511634844285397,,0.1261358338850153,0.7106058609756367,,0.8461665332638088,0.22400965851831298,,0.17204019175808508,0.42453035949745094,,0.33368978132007815,0.07473790389104841,,0.11784791436317395
GES,3,Logit,mw,0.0465222332975054,,0.12707543477024108,0.7167352550339576,,0.8469208559323947,0.22431960281690197,,0.1717984862094762,0.4319250693198618,,0.33384929918388473,0.07515967235367438,,0.11758541995032445
GES,3,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,3,RandomForest,m,0.0800352909506345,,0.4764169749575899,0.740312697533686,,0.919655690870219,0.021719797270449665,,0.015489722129737657,0.010798323835819941,,0.005360341379021437,0.0047619047619047615,,0.32200781092816166
GES,3,RandomForest,m+mw,0.07567494723932451,,0.47023923776780324,0.7286360019805116,,0.9170592751519739,0.022082043599815488,,0.015647361935917106,0.01247843325105073,,0.00570912849216502,0.004651162790697674,,0.3139528322726419
GES,3,RandomForest,mw,0.08097453801714052,,0.47817475681500776,0.7368469378668097,,0.9188609570784483,0.02175503645487493,,0.015482140331700183,0.010515648622641724,,0.005876842448820345,0.0,,0.33208061319487825
GES,3,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,3,XGBoost,m,0.10288329058017749,,0.5245853047690926,0.7711651652680753,,0.9275715074039844,0.021282520204638875,,0.014596614506668434,0.006864432158883131,,0.008856516306459231,0.009413067552602437,,0.4646475800228827
GES,3,XGBoost,m+mw,0.10744297570393432,,0.5288267788669955,0.7699036588941764,,0.9275821495234517,0.021272309969566323,,0.014493328282506707,0.006991398487771912,,0.009215432328453073,0.01819121447028424,,0.47934266992603447
GES,3,XGBoost,mw,0.10216682338713494,,0.5252684412825724,0.7704289950247595,,0.9260331738923444,0.02129904876795957,,0.014552720587875304,0.007015236935225468,,0.009162813793847046,0.009307359307359308,,0.4748561184139278
GES,3,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,4,LightGBM,m,0.10689489047536667,,0.48434255167343004,0.7561102332698173,,0.9186743513707484,0.03426444287347483,,0.01711777727233623,0.03376874253189878,,0.014199116774219863,0.15851620789524806,,0.5079624812004675
GES,4,LightGBM,m+mw,0.10813449851448094,,0.480115428622608,0.7600817215792282,,0.9160011303891912,0.033590688817553276,,0.017075943882150005,0.03285377343606434,,0.014296897040320713,0.15721647986307155,,0.4951404182545901
GES,4,LightGBM,mw,0.10975520241410035,,0.48947411584696593,0.759880518622774,,0.9181204872537286,0.03440679313807646,,0.017042507418390883,0.034532118508255605,,0.014488195994232678,0.16542177081367998,,0.4949452420188531
GES,4,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,4,Logit,m,0.0477338345784491,,0.12941289381572763,0.7244677050686075,,0.8478303713051242,0.22154751696197814,,0.17086183972645666,0.4222183755846064,,0.3326543172326326,0.07723521638437347,,0.11861250318871233
GES,4,Logit,m+mw,0.04741874582227109,,0.12793345575081563,0.7232488093170113,,0.8471611105080893,0.22143148736188906,,0.1706647826962562,0.41954955312728764,,0.3319446361046697,0.07753489262590163,,0.11870718919698695
GES,4,Logit,mw,0.04841515124310834,,0.12887690398240542,0.7261257261716546,,0.847238526981009,0.22246570179118144,,0.17138112105219072,0.4286886340444215,,0.3333157754655781,0.07798762792103447,,0.11831764072068252
GES,4,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,4,RandomForest,m,0.10870646865830882,,0.4679653860118613,0.7710264718580692,,0.9181380985423747,0.021302571782936174,,0.015607594530817212,0.009543545458012736,,0.00539752314354563,0.014174972314507197,,0.3279108626716317
GES,4,RandomForest,m+mw,0.11050539828330821,,0.4612915268875525,0.762881999609621,,0.9176118607410704,0.021272556552487047,,0.015767442531134213,0.009601187751896688,,0.005685985728094758,0.00952921157118548,,0.31314383997712675
GES,4,RandomForest,mw,0.11026610365184134,,0.47229064976922197,0.7684735673949628,,0.9144983450992206,0.021338158005656617,,0.015602409082333249,0.010276091119856242,,0.005171861850258164,0.014174972314507197,,0.32117472311631545
GES,4,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,4,XGBoost,m,0.13700111838526668,,0.5276824709090451,0.8026256832765888,,0.9258441006280587,0.02091750166810794,,0.0145103827789561,0.00818983583521551,,0.008720537754120412,0.017777777777777778,,0.4862660589204279
GES,4,XGBoost,m+mw,0.1329416672150136,,0.5232319717782153,0.8006596098265822,,0.9263032422580801,0.02096849390104017,,0.014507844886396,0.008437292789332957,,0.00900890448458487,0.027735895540773593,,0.4469110342675616
GES,4,XGBoost,mw,0.13565722912348346,,0.5288704538793877,0.8031381323732422,,0.9275997655821767,0.02089702012270844,,0.014501946707958879,0.007791156374556121,,0.00898192928099523,0.017786561264822136,,0.47761922833174825
GES,4,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,5,LightGBM,m,0.26056559545928926,,0.4852654820756014,0.8685352703577575,,0.9162346359007774,0.02526660389015476,,0.01720656620618844,0.02139242711062609,,0.014298119246164165,0.311870539812573,,0.4859277708690627
GES,5,LightGBM,m+mw,0.2654305155248478,,0.48983506522353615,0.8699545654490389,,0.9172961102834867,0.025249612592686304,,0.01685917096048617,0.022063472263728023,,0.014304735533426122,0.320857606715511,,0.5082875816256183
GES,5,LightGBM,mw,0.27338903505083223,,0.4857668886187976,0.869871674120654,,0.9158895088439906,0.02511728020731001,,0.017140921112006675,0.020893840617506716,,0.014414912454873325,0.3277944946688772,,0.4854513557265001
GES,5,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,5,Logit,m,0.04764136539489776,,0.13088765540427535,0.724538913163244,,0.8480427092402774,0.2215600153711986,,0.1707109625320577,0.42221712615178425,,0.3323441386754479,0.07722625128865464,,0.11831613452742555
