dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,1,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.596
NOTEARS,1,Logit,F,m,0.06657003807944253,0.0401859896742965,0.6718877696585374,0.23171191359318902,0.4398810880343299,0.243
NOTEARS,1,Logit,OF,m,0.11648029764697312,0.13009668253978277,0.849037018584345,0.17204962791816772,0.33437393002741833,0.678
NOTEARS,1,Logit,F,mw,0.0667210422429827,0.0401859896742965,0.6718877696585374,0.2317274897075227,0.43768292761195865,0.148
NOTEARS,1,Logit,OF,mw,0.11606846673838271,0.1304762371346714,0.8488997099649435,0.17217310885748865,0.33437991547585744,0.595
NOTEARS,1,Logit,F,m+mw,0.06667672414347005,0.0401859896742965,0.6718877696585374,0.2318685242445592,0.43538615577154205,0.191
NOTEARS,1,Logit,OF,m+mw,0.11601512045310025,0.13057740520672026,0.8487612415978256,0.17228105282384085,0.33458353105809147,0.777
NOTEARS,1,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,24.443
NOTEARS,1,RandomForest,F,m,0.03990496502037015,0.031219346956008403,0.5352754888632685,0.03611583503348855,0.0437136970979871,20.049
NOTEARS,1,RandomForest,OF,m,0.25882819967333215,0.45081648320732226,0.9103266776390644,0.01599344821967736,0.005698621594431795,17.312
NOTEARS,1,RandomForest,F,mw,0.03981935520632428,0.032544685793721655,0.5335984583771677,0.03616193538521404,0.04377206050542591,15.684
NOTEARS,1,RandomForest,OF,mw,0.25882819967333215,0.45081434862752223,0.9103166482807907,0.01599351078177228,0.005697922645598319,17.111
NOTEARS,1,RandomForest,F,m+mw,0.03897788627199138,0.031764596396426203,0.5355711454944271,0.03589494023133402,0.043703359575785014,15.587
NOTEARS,1,RandomForest,OF,m+mw,0.2553195789133881,0.4463541765906255,0.9150643567726163,0.016087098522555188,0.004986475578447959,17.73
NOTEARS,1,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,5.451
NOTEARS,1,XGBoost,F,m,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.481
NOTEARS,1,XGBoost,OF,m,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862,5.462
NOTEARS,1,XGBoost,F,mw,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.452
NOTEARS,1,XGBoost,OF,mw,0.4484491645118437,0.4931128244793017,0.9193839612694583,0.015021451083344291,0.008705505337514862,5.411
NOTEARS,1,XGBoost,F,m+mw,0.0,0.03474964956446734,0.6500043921838372,0.02171607370442484,0.0008101588539207418,3.474
NOTEARS,1,XGBoost,OF,m+mw,0.46391610274079476,0.4887755747223905,0.9207973028199918,0.01508079810557707,0.008963788743346128,5.473
NOTEARS,1,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,22.912
NOTEARS,1,LightGBM,F,m,0.055181769619091006,0.031206178076243485,0.6087387837307692,0.21619607967223042,0.3315101488747452,22.729
NOTEARS,1,LightGBM,OF,m,0.46641608156522896,0.45028971827641395,0.9101260985145803,0.018139388129488267,0.015537984790544353,23.076
NOTEARS,1,LightGBM,F,mw,0.05515016172708378,0.031160012058691088,0.6083051274163355,0.21626891546572122,0.33160259381498813,22.505
NOTEARS,1,LightGBM,OF,mw,0.46641608156522896,0.45028602948184127,0.9101261343478326,0.01813943619871817,0.015537494239817238,23.171
NOTEARS,1,LightGBM,F,m+mw,0.055181769619091006,0.031206178076243485,0.6087387837307692,0.21619607967223042,0.3315101488747452,26.061
NOTEARS,1,LightGBM,OF,m+mw,0.4802342123974147,0.4536709459039313,0.9089899414069086,0.017985706878460107,0.015814983071923885,52.229
NOTEARS,2,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.556
NOTEARS,2,Logit,F,m,0.06662675044781363,0.040188885191869875,0.6720552534827069,0.2316532161982975,0.43980749340283454,0.175
NOTEARS,2,Logit,OF,m,0.11602006268031291,0.1301067392301588,0.8488964056526445,0.17214513776824816,0.33440793098765037,0.483
NOTEARS,2,Logit,F,mw,0.06673086184978756,0.040185999678273895,0.6720496051431406,0.23177018507625488,0.4377220394932734,0.157
NOTEARS,2,Logit,OF,mw,0.11616967963297187,0.1303459128330345,0.8485568243630018,0.17223058763602822,0.33453042973214886,0.676
NOTEARS,2,Logit,F,m+mw,0.06676375755108643,0.04020733618612138,0.6721752464849697,0.23185664442964987,0.4353551253188054,0.171
NOTEARS,2,Logit,OF,m+mw,0.11615669925257521,0.13011447793155012,0.8486928488561892,0.17222902895190803,0.33442933715737855,0.497
NOTEARS,2,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,24.386
NOTEARS,2,RandomForest,F,m,0.005,0.0391829136264856,0.6259545701205711,0.023565164001704428,0.020265681995240613,21.339
NOTEARS,2,RandomForest,OF,m,0.30877393878398623,0.47760090093386065,0.9202566739002449,0.015528140800010757,0.005717517128662232,26.653
NOTEARS,2,RandomForest,F,mw,0.005,0.03926758596638985,0.6262775397309206,0.02363675083048533,0.020276973344437732,22.05
NOTEARS,2,RandomForest,OF,mw,0.3247560165916156,0.47362372202951963,0.9145989125998083,0.015555779805482301,0.005117174399105645,20.291
NOTEARS,2,RandomForest,F,m+mw,0.009545454545454546,0.03935245473089931,0.6261580037441534,0.023948133211066137,0.021766390088322502,20.862
NOTEARS,2,RandomForest,OF,m+mw,0.3373292070451369,0.47801420089114977,0.9155954883708706,0.015436340721690658,0.005404108487363118,21.488
NOTEARS,2,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,6.321
NOTEARS,2,XGBoost,F,m,0.0,0.0558282557606832,0.6898275691217355,0.021705132912385662,0.0049610575107553855,4.546
NOTEARS,2,XGBoost,OF,m,0.4689922778244524,0.5120559171522217,0.9265180381153085,0.014621746301701677,0.00933031278283734,6.789
NOTEARS,2,XGBoost,F,mw,0.0,0.05592103391574602,0.6900648630824222,0.021706268880105822,0.0048707644543613555,4.701
NOTEARS,2,XGBoost,OF,mw,0.4662749597075383,0.5171392991705127,0.9259868177831025,0.01465340217711841,0.009269850525351116,6.05
NOTEARS,2,XGBoost,F,m+mw,0.0,0.05625727697922313,0.6993943921425734,0.021923047517096853,0.007083449198308729,4.197
NOTEARS,2,XGBoost,OF,m+mw,0.46885273642172426,0.5212980650761513,0.9270130791706123,0.014536611694444776,0.008964609672069085,6.273
NOTEARS,2,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,23.113
NOTEARS,2,LightGBM,F,m,0.0849767901672571,0.048070528910810074,0.673476142566626,0.06842974029276538,0.0972866952474647,22.359
NOTEARS,2,LightGBM,OF,m,0.4962052837796039,0.4855210472110188,0.9157657243523571,0.01701929335793025,0.013801461595446558,23.696
NOTEARS,2,LightGBM,F,mw,0.0843402205254867,0.04884878401098376,0.6707289110533384,0.06869047305922951,0.0966406149633181,22.386
NOTEARS,2,LightGBM,OF,mw,0.5013711954528568,0.479702354796388,0.9156359711395925,0.017064100327931594,0.013886762511906856,23.429
NOTEARS,2,LightGBM,F,m+mw,0.09581202327273626,0.049892091844492316,0.6714373939973142,0.06521313093560724,0.09265217506916203,23.094
NOTEARS,2,LightGBM,OF,m+mw,0.5013615153629358,0.48435247770099654,0.9157445452228978,0.016781142395717298,0.014301933204994541,41.462
NOTEARS,3,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.612
NOTEARS,3,Logit,F,m,0.07633263212554811,0.04585810144205729,0.708317297942476,0.22398766346550308,0.4230055568795712,0.253
