,,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
DAG,edges,exp,row,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GES,20,baseline,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GES,20,baseline,m,,,,,,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035,-0.004,0.0142,-0.0045,0.0033,0.019,0.0692,0.0565,0.0048,-0.0191,-0.0602
GES,20,baseline,mw,,,,,,0.4112,0.4548,0.9174,0.036,0.0674,0.4439,0.4836,0.9167,0.0364,0.0817,0.0189,0.0211,0.0022,-0.006,-0.0278,0.0516,0.0499,0.0015,-0.0056,-0.0135
GES,20,randW,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GES,20,randW,m,,,,,,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035,-0.004,0.0142,-0.0045,0.0033,0.019,0.0692,0.0565,0.0048,-0.0191,-0.0602
GES,20,randW,mw,,,,,,0.4087,0.4596,0.9166,0.0297,0.0605,0.466,0.491,0.9181,0.0273,0.0473,0.0164,0.0259,0.0014,-0.0123,-0.0347,0.0737,0.0573,0.0029,-0.0147,-0.0479
GES,20,randEdge,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GES,20,randEdge,m,,,,,,0.3408,0.3566,0.8966,0.0352,0.0647,0.4139,0.4486,0.9109,0.0276,0.0476,-0.0515,-0.0771,-0.0186,-0.0068,-0.0305,0.0216,0.0149,-0.0043,-0.0144,-0.0476
GES,20,randEdge,mw,,,,,,0.3631,0.3711,0.898,0.0281,0.039,0.3847,0.4218,0.8994,0.0596,0.1251,-0.0292,-0.0626,-0.0172,-0.0139,-0.0562,-0.0076,-0.0119,-0.0158,0.0176,0.0299
GOLEM,35,baseline,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GOLEM,35,baseline,m,,,,,,0.4294,0.4804,0.9149,0.0346,0.0868,0.4535,0.4858,0.914,0.0274,0.0556,0.0371,0.0467,-0.0003,-0.0074,-0.0084,0.0612,0.0521,-0.0012,-0.0146,-0.0396
GOLEM,35,baseline,mw,,,,,,0.4507,0.4808,0.9162,0.0376,0.0834,0.48,0.4921,0.9173,0.0258,0.0459,0.0584,0.0471,0.001,-0.0044,-0.0118,0.0877,0.0584,0.0021,-0.0162,-0.0493
GOLEM,35,randW,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GOLEM,35,randW,m,,,,,,0.4294,0.4804,0.9149,0.0346,0.0868,0.4535,0.4858,0.914,0.0274,0.0556,0.0371,0.0467,-0.0003,-0.0074,-0.0084,0.0612,0.0521,-0.0012,-0.0146,-0.0396
GOLEM,35,randW,mw,,,,,,0.4536,0.4927,0.9184,0.034,0.0699,0.4571,0.4927,0.9172,0.0239,0.0398,0.0613,0.059,0.0032,-0.008,-0.0253,0.0648,0.059,0.002,-0.0181,-0.0554
GOLEM,35,randEdge,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
GOLEM,35,randEdge,m,,,,,,0.4033,0.4231,0.9089,0.0453,0.08,0.4174,0.4377,0.9111,0.05,0.1048,0.011,-0.0106,-0.0063,0.0033,-0.0152,0.0251,0.004,-0.0041,0.008,0.0096
GOLEM,35,randEdge,mw,,,,,,0.3992,0.4292,0.9061,0.0466,0.0862,0.4157,0.4518,0.9094,0.0348,0.0849,0.0069,-0.0045,-0.0091,0.0046,-0.009,0.0234,0.0181,-0.0058,-0.0072,-0.0103
GOLEM,40,baseline,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
