,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
exp,row,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
baseline,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
baseline,m,,,,,,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035,-0.004,0.0142,-0.0045,0.0033,0.019,0.0692,0.0565,0.0048,-0.0191,-0.0602
baseline,mw,,,,,,0.4112,0.4548,0.9174,0.036,0.0674,0.4439,0.4836,0.9167,0.0364,0.0817,0.0189,0.0211,0.0022,-0.006,-0.0278,0.0516,0.0499,0.0015,-0.0056,-0.0135
randW,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
randW,m,,,,,,0.3883,0.4479,0.9107,0.0453,0.1142,0.4615,0.4902,0.92,0.0229,0.035,-0.004,0.0142,-0.0045,0.0033,0.019,0.0692,0.0565,0.0048,-0.0191,-0.0602
randW,mw,,,,,,0.4087,0.4596,0.9166,0.0297,0.0605,0.466,0.491,0.9181,0.0273,0.0473,0.0164,0.0259,0.0014,-0.0123,-0.0347,0.0737,0.0573,0.0029,-0.0147,-0.0479
randEdge,original,0.3923,0.4337,0.9152,0.042,0.0952,,,,,,,,,,,,,,,,,,,,
randEdge,m,,,,,,0.3408,0.3566,0.8966,0.0352,0.0647,0.4139,0.4486,0.9109,0.0276,0.0476,-0.0515,-0.0771,-0.0186,-0.0068,-0.0305,0.0216,0.0149,-0.0043,-0.0144,-0.0476
randEdge,mw,,,,,,0.3631,0.3711,0.898,0.0281,0.039,0.3847,0.4218,0.8994,0.0596,0.1251,-0.0292,-0.0626,-0.0172,-0.0139,-0.0562,-0.0076,-0.0119,-0.0158,0.0176,0.0299
