exp,row,set,f1,AUPRC,AUROC,Brier,ECE
baseline,original,O,0.3923,0.4337,0.9152,0.042,0.0952
baseline,original,F,,,,,
baseline,original,OF,,,,,
baseline,m,O,0.3923,0.4337,0.9152,0.042,0.0952
baseline,m,F,0.4294,0.4804,0.9149,0.0346,0.0868
baseline,m,OF,0.4535,0.4858,0.914,0.0274,0.0556
baseline,mw,O,0.3923,0.4337,0.9152,0.042,0.0952
baseline,mw,F,0.4507,0.4808,0.9162,0.0376,0.0834
baseline,mw,OF,0.48,0.4921,0.9173,0.0258,0.0459
baseline,m+mw,O,0.3923,0.4337,0.9152,0.042,0.0952
baseline,m+mw,F,0.4818,0.4894,0.9126,0.0225,0.0315
baseline,m+mw,OF,0.4661,0.4852,0.9161,0.0243,0.0423
randW,original,O,0.3923,0.4337,0.9152,0.042,0.0952
randW,original,F,,,,,
randW,original,OF,,,,,
randW,m,O,0.3923,0.4337,0.9152,0.042,0.0952
randW,m,F,0.4294,0.4804,0.9149,0.0346,0.0868
randW,m,OF,0.4535,0.4858,0.914,0.0274,0.0556
randW,mw,O,0.3923,0.4337,0.9152,0.042,0.0952
randW,mw,F,0.4536,0.4927,0.9184,0.034,0.0699
randW,mw,OF,0.4571,0.4927,0.9172,0.0239,0.0398
randW,m+mw,O,0.3923,0.4337,0.9152,0.042,0.0952
randW,m+mw,F,0.4785,0.4799,0.9062,0.0238,0.0373
randW,m+mw,OF,0.4345,0.4795,0.9079,0.0336,0.0788
randEdge,original,O,0.3923,0.4337,0.9152,0.042,0.0952
randEdge,original,F,,,,,
randEdge,original,OF,,,,,
randEdge,m,O,0.3923,0.4337,0.9152,0.042,0.0952
randEdge,m,F,0.4033,0.4231,0.9089,0.0453,0.08
randEdge,m,OF,0.4174,0.4377,0.9111,0.05,0.1048
randEdge,mw,O,0.3923,0.4337,0.9152,0.042,0.0952
randEdge,mw,F,0.3992,0.4292,0.9061,0.0466,0.0862
randEdge,mw,OF,0.4157,0.4518,0.9094,0.0348,0.0849
randEdge,m+mw,O,0.3923,0.4337,0.9152,0.042,0.0952
randEdge,m+mw,F,0.4069,0.4173,0.8943,0.0622,0.1177
randEdge,m+mw,OF,0.4319,0.4455,0.9112,0.0329,0.0623
