,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
GES,LightGBM,original,0.3508,0.4346,0.9083,0.0523,0.1345,,,,,,,,,,
GES,LightGBM,m,,,,,,0.36,0.3773,0.9001,0.0596,0.1338,0.3827,0.4444,0.9098,0.0463,0.111
GES,LightGBM,mw,,,,,,0.3655,0.3831,0.9014,0.0464,0.1113,0.3932,0.4178,0.9131,0.0595,0.1328
GES,XGBoost,original,0.3551,0.4408,0.9097,0.0593,0.1455,,,,,,,,,,
GES,XGBoost,m,,,,,,0.3312,0.4101,0.9107,0.0518,0.1175,0.3607,0.4447,0.9175,0.0472,0.1173
GES,XGBoost,mw,,,,,,0.3632,0.4153,0.91,0.0424,0.0894,0.3513,0.4516,0.9189,0.0578,0.1461
NOTEARS,FFMLP,original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
NOTEARS,FFMLP,m,,,,,,0.4348,0.4667,0.9079,0.0159,0.0081,0.485,0.4825,0.9133,0.0154,0.0081
NOTEARS,FFMLP,mw,,,,,,0.4643,0.4692,0.9085,0.0155,0.0083,0.4964,0.4944,0.9141,0.0152,0.0079
