Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
1,0.14731328118063708,0.3254445434836326,0.0303030303030303,0.081,0.937,0.043,0.018,0.244,0.0799213887979037,0.09477184555699245,-0.02,0.006004156723885767,0.008668242710795903,0
2,0.1453501563594393,0.32571681810664355,0.033135089209855535,0.085,0.936,0.0409999999999999,0.02,0.23,0.07533573534228628,0.09200073896175874,-0.006,0.005197146411535529,0.00894967916244512,0
3,0.1508745277155738,0.3249567604773106,0.03879920702350606,0.085,0.939,0.049,0.021,0.317,0.10383229610219456,0.10012931830777759,0.036,0.006269849349797999,0.008555668130136217,0
4,0.13467628170347937,0.3269730562314094,0.047295383743981845,0.0969999999999999,0.932,0.07,0.025,0.272,0.09760890926957091,0.15130242009975986,-0.02,0.007342552288060468,0.009174828323764496,0
5,0.13209166510471643,0.326906497012869,0.04276408949306145,0.106,0.93,0.071,0.023,0.244,0.0864723223059286,0.15407352669499358,0.063,0.007871454431231547,0.010469436001350895,0
6,0.1260740463060699,0.3280733070189841,0.055508354573775134,0.125,0.927,0.079,0.03,0.263,0.10972813625941698,0.18972843155366712,0.021,0.007034646815040686,0.012214342001576044,0
7,0.12271009874813799,0.3290576781469996,0.04701217785329935,0.129,0.926,0.0819999999999999,0.023,0.278,0.1166066164428431,0.1884352484758914,0.013,0.009125424301191147,0.011764043678937297,0
8,0.12671526798133553,0.32861763579368125,0.04446332483715661,0.114,0.928,0.074,0.022,0.34,0.1519816573861775,0.17033068538703125,0.002,0.008507130246498197,0.010413148711021052,0
9,0.127760952559461,0.32892429509965343,0.04361370716510903,0.12,0.928,0.072,0.022,0.345,0.15525712414018997,0.16755957879179756,0.025,0.008363109944601847,0.01052572329168074,0
10,0.13086841144728664,0.3271186449533444,0.024638912489379775,0.115,0.93,0.065,0.0139999999999999,0.303,0.09924664264657714,0.12008128579346021,0.022,0.011543972129588475,0.010187999549701678,0
11,0.13449871262417504,0.3271555301475233,0.011611441517983545,0.106,0.932,0.061,0.0139999999999999,0.297,0.09728136259416967,0.11546277480140404,0.031,0.010990238899883542,0.00990656309805246,0
12,0.12883623198413716,0.3268312928199665,0.011611441517983545,0.0969999999999999,0.929,0.06,0.016,0.28,0.09171306911234851,0.11139848512839462,0.021,0.009296758798274737,0.009456264775413713,0
13,0.12781027730371217,0.32861997732808484,-0.0033984706881903144,0.1009999999999999,0.928,0.066,0.0139999999999999,0.275,0.0900753357353423,0.1232218732680584,-0.051,0.011581218759389254,0.00990656309805246,0
14,0.12996083615306453,0.3272247656589259,0.007929764939110705,0.104,0.929,0.071,0.018,0.272,0.08909269570913857,0.13504526140772216,-0.005,0.00953017101169296,0.010469436001350895,0
