,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O
DAG,Model,Feature,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
NOTEARS,FF MLP,original,0.468,0.4305,0.8805,0.0177,0.0162,,,,,,,,,,,,,,,,,,,,
NOTEARS,FF MLP,m,,,,,,0.4506,0.4077,0.8771,0.018,0.0146,0.4676,0.4247,0.8842,0.0176,0.0166,-0.0174,-0.0228,-0.0034,0.0003,-0.0016,-0.0004,-0.0058,0.0037,-1.00E-04,0.0004
NOTEARS,FF MLP,mw,,,,,,0.4455,0.3643,0.8675,0.0182,0.0141,0.4662,0.4192,0.8798,0.0179,0.0166,-0.0225,-0.0662,-0.013,0.0005,-0.0021,-0.0018,-0.0113,-0.0007,0.0002,0.0004
NOTEARS,LightGBM,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,
NOTEARS,LightGBM,m,,,,,,0.4145,0.3804,0.9024,0.018,0.017,0.4897,0.4781,0.9127,0.0163,0.0159,-0.0345,-0.0696,-0.0045,0.0016,0.0016,0.0407,0.0281,0.0058,-0.0001,0.0005
NOTEARS,LightGBM,mw,,,,,,0.4085,0.3794,0.9001,0.0181,0.0169,0.4747,0.4818,0.9129,0.0162,0.0157,-0.0405,-0.0706,-0.0068,0.0017,0.0015,0.0257,0.0318,0.006,-0.0002,0.0003
NOTEARS,Logit,original,0.4078,0.3413,0.8912,0.0182,0.0094,,,,,,,,,,,,,,,,,,,,
NOTEARS,Logit,m,,,,,,0.1552,0.1055,0.8067,0.021,0.0026,0.4055,0.3374,0.8977,0.0183,0.009,-0.2526,-0.2358,-0.0845,0.0028,-0.0068,-0.0023,-0.0039,0.0065,1.00E-04,-0.0004
NOTEARS,Logit,mw,,,,,,0.1552,0.1055,0.8067,0.021,0.0026,0.4055,0.3374,0.8977,0.0183,0.009,-0.2526,-0.2358,-0.0845,0.0028,-0.0068,-0.0023,-0.0039,0.0065,1.00E-04,-0.0004
NOTEARS,RF,original,0.448,0.4496,0.9141,0.016,0.0065,,,,,,,,,,,,,,,,,,,,
NOTEARS,RF,m,,,,,,0.3808,0.3517,0.8977,0.0175,0.0061,0.4586,0.4503,0.9116,0.016,0.0068,-0.0672,-0.0979,-0.0164,0.0015,-0.0004,0.0106,0.0007,-0.0025,0,0.0003
NOTEARS,RF,mw,,,,,,0.3858,0.352,0.8961,0.0175,0.0061,0.4413,0.4513,0.9171,0.016,0.0065,-0.0622,-0.0976,-0.018,0.0015,-0.0004,-0.0067,0.0017,0.003,0,0
NOTEARS,XGBoost,original,0.4726,0.4597,0.9161,0.0159,0.0122,,,,,,,,,,,,,,,,,,,,
NOTEARS,XGBoost,m,,,,,,0.4008,0.4044,0.9077,0.0172,0.0136,0.4982,0.4992,0.9199,0.0154,0.0126,-0.0718,-0.0553,-0.0084,0.0013,0.0014,0.0256,0.0395,0.0038,-0.0005,0.0004
