,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF
DAG,Model,Feature,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE
NOTEARS,FF MLP,original,0.4566,0.5032,0.9148,0.0148,0.0076,,,,,,,,,,
NOTEARS,FF MLP,m,0.4566,0.5032,0.9148,0.0148,0.0076,0.4816,0.5082,0.9207,0.0149,0.0082,0.48,0.5,0.9149,0.015,0.0077
NOTEARS,FF MLP,mw,0.4566,0.5032,0.9148,0.0148,0.0076,0,0.0221,0.5,0.0218,0.0135,0.4359,0.477,0.9141,0.0154,0.008
NOTEARS,FF MLP,m+mw,0.4566,0.5032,0.9148,0.0148,0.0076,0.4964,0.5118,0.9235,0.0149,0.0079,0.4928,0.5059,0.9146,0.0147,0.0071
NOTEARS,LightGBM,original,0,0.1924,0.8292,0.0201,0.019,,,,,,,,,,
NOTEARS,LightGBM,m,0,0.1924,0.8292,0.0201,0.019,0,0.1951,0.8412,0.0199,0.0202,0,0.2079,0.8325,0.0201,0.0208
NOTEARS,LightGBM,mw,0,0.1924,0.8292,0.0201,0.019,0,0.0221,0.5,0.0217,0.0003,0,0.1924,0.8292,0.0201,0.019
NOTEARS,LightGBM,m+mw,0,0.1924,0.8292,0.0201,0.019,0,0.1951,0.8412,0.0199,0.0202,0,0.2079,0.8325,0.0201,0.0208
NOTEARS,Logit,original,0.1406,0.1913,0.8816,0.1477,0.2809,,,,,,,,,,
NOTEARS,Logit,m,0.1406,0.1913,0.8816,0.1477,0.2809,0.1353,0.2068,0.8955,0.1464,0.2665,0.1443,0.2098,0.895,0.1401,0.2531
NOTEARS,Logit,mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.0433,0.0221,0.5,0.25,0.4779,0.1406,0.1913,0.8816,0.1477,0.2809
NOTEARS,Logit,m+mw,0.1406,0.1913,0.8816,0.1477,0.2809,0.1353,0.2068,0.8955,0.1464,0.2665,0.1447,0.2098,0.895,0.14,0.2531
NOTEARS,RF,original,0.3142,0.4542,0.9112,0.0159,0.0054,,,,,,,,,,
NOTEARS,RF,m,0.3142,0.4542,0.9112,0.0159,0.0054,0.3503,0.4671,0.9067,0.0157,0.0059,0.3739,0.4678,0.9128,0.0155,0.0057
NOTEARS,RF,mw,0.3142,0.4542,0.9112,0.0159,0.0054,0.0043,0.0221,0.5,0.2493,0.4771,0.2538,0.4503,0.9116,0.016,0.0055
NOTEARS,RF,m+mw,0.3142,0.4542,0.9112,0.0159,0.0054,0.3092,0.4639,0.9096,0.0157,0.0055,0.3471,0.4685,0.9106,0.0156,0.0056
NOTEARS,TabNet,original,0.3324,0.2916,0.8976,0.057,0.1452,,,,,,,,,,
NOTEARS,TabNet,m,0.3324,0.2916,0.8976,0.057,0.1452,0.1474,0.1996,0.7564,0.0599,0.1637,0.3985,0.3438,0.91,0.0452,0.1336
NOTEARS,TabNet,mw,0.3324,0.2916,0.8976,0.057,0.1452,0,0.0218,0.4907,0.0808,0.2329,0.3285,0.3504,0.9062,0.0562,0.143
NOTEARS,TabNet,m+mw,0.3324,0.2916,0.8976,0.057,0.1452,0,0.1168,0.835,0.052,0.1673,0.3317,0.345,0.9091,0.0576,0.1376
NOTEARS,XGBoost,original,0.4721,0.4511,0.9,0.0191,0.0162,,,,,,,,,,
NOTEARS,XGBoost,m,0.4721,0.4511,0.9,0.0191,0.0162,0.4796,0.4598,0.9027,0.0186,0.0159,0.4845,0.4817,0.9116,0.0177,0.0151
NOTEARS,XGBoost,mw,0.4721,0.4511,0.9,0.0191,0.0162,0,0.0221,0.5,0.25,0.4779,0.4721,0.4511,0.9,0.0191,0.0162
NOTEARS,XGBoost,m+mw,0.4721,0.4511,0.9,0.0191,0.0162,0.4796,0.4598,0.9027,0.0186,0.0159,0.4845,0.4817,0.9116,0.0177,0.0151
